entity,entity_label,relation,relation_label,value,value_label,frequency,start_time,end_time
Q138380626,Tønnes Elias Lende,P2632,place of detention,Q140459441,Møllergata 19,A-Week,1944-11-23,
Q89128093,2020 Llano County stay-at-home order,P582,end time,2020-04-20T00:00:00Z,2020-04-20T00:00:00Z,A-Week,2020-04-20,
Q138607563,Leonard Scheer,P2632,place of detention,Q7393493,SS Donau,A-Week,1942-11-26,1942-11-30
Q110860687,Progressief Leefbaar Cuijk,P1410,number of seats in assembly,1.0,1.0,A-Few-Weeks,2010-03-14,2010-03-17
Q139648738,Jakob Kleiven,P2632,place of detention,Q140459439,Stavern,A-Few-Weeks,1942-03-20,1942-03-30
Q138359450,Meyer Leib Shotland,P2632,place of detention,Q140459458,Auschwitz,A-Few-Weeks,1943-03-03,1943-03-03
Q139657466,Svein Hugo Monsen,P2632,place of detention,Q637411,Grini detention camp,A-Few-Weeks,1943-04-16,1943-04-18
Q139656396,Martin Gjerd,P2632,place of detention,Q140459491,Bergen kretsfengsel,A-Few-Weeks,1943-04-13,1943-05-04
Q443777,Orlando Letelier,P39,position held,Q55755578,Minister of the Interior of Chile,A-Few-Weeks,1973-08-09,1973-08-23
Q139635750,Arne Svendsen,P2632,place of detention,Q140459441,Møllergata 19,A-Few-Weeks,1944-02-05,1944-03-15
Q139641850,Herman Levin,P2632,place of detention,Q2217762,Falstad concentration camp,A-Few-Weeks,1942-10-09,1942-11-25
Q138377853,Olaf Lund,P2632,place of detention,Q140459342,Narvik,A-Few-Weeks,1944-08-23,1944-09-13
Q139643263,Finn Ravn,P2632,place of detention,Q140459491,Bergen kretsfengsel,A-Few-Weeks,1941-08-12,1941-10-04
Q139652522,Roman Ryfka,P2632,place of detention,Q140459448,Trondheim kretsfengsel avd. A (Vollan),A-Few-Weeks,1944-03-25,1944-04-29
Q138374109,Rudolf Elihu Johansen,P2632,place of detention,Q637411,Grini detention camp,A-Few-Weeks,1944-07-07,1944-08-10
Q28718416,Walter Rothholz,P2632,place of detention,Q637411,Grini detention camp,A-Few-Weeks,1942-12-02,1945-05-02
Q138380526,Henrik Martin Mikalsen,P2632,place of detention,Q2217762,Falstad concentration camp,A-Few-Weeks,1944-09-07,1944-11-02
Q138377176,Birger Myhr,P2632,place of detention,Q140459491,Bergen kretsfengsel,A-Few-Weeks,1944-11-11,1944-11-24
Q139634915,Erling Engenes,P2632,place of detention,Q140459748,Aussendienststelle Kristiansand (Arkivet),A-Few-Weeks,1943-12-09,1943-12-21
Q139632397,Håkon Arnold Skeime,P2632,place of detention,Q140458874,Farsund hjelpefengsel,A-Few-Weeks,1942-08-18,1942-08-18
Q138606964,Simon Goldwasser,P2632,place of detention,Q140459443,Berg,A-Few-Weeks,1942-10-28,1942-11-26
Q138370488,Gunnar Bjørnsgaard-Andersen,P2632,place of detention,Q140458793,Kristiansand kretsfengsel,A-Few-Weeks,1944-03-25,1944-03-26
Q138699506,Joseph Hirsch Schechter,P2632,place of detention,Q140459458,Auschwitz,A-Few-Weeks,1942-12-01,1943-01-14
Q138606990,Emil Gunst,P2632,place of detention,Q28717972,MS Gotenland,A-Few-Weeks,1943-02-25,1943-02-27
Q138368415,Andreas Ensrud,P2632,place of detention,Q637411,Grini detention camp,A-Few-Weeks,1944-05-09,1944-06-17
Q138364214,Leif Berg,P2632,place of detention,Q15204401,Bredtveit prison,A-Few-Weeks,1944-07-08,1944-07-28
Q138359482,Lars Kornelius Svanevik,P2632,place of detention,Q140459506,Ulven,A-Few-Weeks,1941-10-20,1942-01-22
Q139655831,Arent Wittendorph Greve,P2632,place of detention,Q140458774,Trondheim sykehus,A-Few-Weeks,1944-06-10,1944-09-04
Q138362021,Bernhard Aarø,P2632,place of detention,Q140458875,Molde kretsfengsel,A-Few-Weeks,1944-05-19,1944-05-26
Q139631218,Ivar Hedly Johansen,P2632,place of detention,Q140459146,Trondheim kretsfengsel avd. C (Kongens gate 85),A-Few-Weeks,1942-04-28,1942-05-01
Q139658036,Harald Gaalaas,P2632,place of detention,Q637411,Grini detention camp,A-Few-Weeks,1944-05-09,1944-06-17
Q138372980,Adolf Magnus Håkonsen,P2632,place of detention,Q140458793,Kristiansand kretsfengsel,A-Few-Weeks,1944-05-01,1944-06-03
Q139655941,Einar Leonard Olsen,P2632,place of detention,Q140458828,Hammerfest hjelpefengsel,A-Few-Weeks,1944-10-26,1944-10-28
Q138607255,Per Cold Kristensen,P2632,place of detention,Q140458793,Kristiansand kretsfengsel,A-Few-Weeks,1943-11-13,1943-11-14
Q139647443,Elias Martin Larsen,P2632,place of detention,Q140459760,Åsen,A-Few-Weeks,1944-07-02,1944-07-19
Q139637950,Otto Økland,P2632,place of detention,Q637411,Grini detention camp,A-Few-Weeks,1944-09-15,1944-09-19
Q139647414,Aasmund Winther,P2632,place of detention,Q140458773,Værnes,A-Few-Weeks,1943-11-01,1943-11-23
Q138606914,Elias Abraham Ebstein,P2632,place of detention,Q7393493,SS Donau,A-Few-Weeks,1942-11-26,1942-11-30
Q138376171,Johannes Mosvold Johannesen,P2632,place of detention,Q637411,Grini detention camp,A-Few-Weeks,1944-08-10,1945-02-04
Q139648790,Alf Pettersen,P2632,place of detention,Q140459448,Trondheim kretsfengsel avd. A (Vollan),A-Few-Weeks,1944-07-22,1944-07-27
Q139639156,Erling Holten,P2632,place of detention,Q140459448,Trondheim kretsfengsel avd. A (Vollan),A-Few-Weeks,1942-04-08,1942-04-13
Q139641830,Jacob Petlitz,P2632,place of detention,Q15204401,Bredtveit prison,A-Few-Weeks,1942-10-26,1942-10-28
Q138361036,Viktor Belov,P2632,place of detention,Q140459748,Aussendienststelle Kristiansand (Arkivet),A-Few-Weeks,1944-10-20,1944-10-21
Q139652327,Peder Ragnvald Rugås,P2632,place of detention,Q2217762,Falstad concentration camp,A-Few-Weeks,1944-09-10,1944-09-20
Q138367179,Olaus Ingvald Busch,P2632,place of detention,Q140459448,Trondheim kretsfengsel avd. A (Vollan),A-Few-Weeks,1944-03-08,1944-03-28
Q138378475,Jens Marius Madsen,P2632,place of detention,Q140459448,Trondheim kretsfengsel avd. A (Vollan),A-Few-Weeks,1944-07-29,1944-09-11
Q138374839,Karl Karlsrud,P2632,place of detention,Q140459441,Møllergata 19,A-Few-Weeks,1942-10-15,1942-10-21
Q139648908,Tormod Mælan,P2632,place of detention,Q2217762,Falstad concentration camp,A-Few-Weeks,1942-08-24,1942-09-17
Q139634444,Ivar Sund,P2632,place of detention,Q140459146,Trondheim kretsfengsel avd. C (Kongens gate 85),A-Few-Weeks,1944-07-26,1944-08-04
Q138363992,Berthin Helgelund Benonisen,P2632,place of detention,Q637411,Grini detention camp,A-Few-Weeks,1943-07-19,1943-07-26
Q139641802,Knut Røysland,P2632,place of detention,Q637411,Grini detention camp,A-Few-Weeks,1945-03-02,1945-05-08
Q139653051,Hans Jutziess,P2632,place of detention,Q140459456,Trondheim,A-Few-Weeks,1943-03-20,1943-03-25
Q139636462,Arne Schiefloe,P2632,place of detention,Q7393493,SS Donau,A-Few-Weeks,1943-12-09,1943-12-11
Q138374761,Arne Karlsen,P2632,place of detention,Q140459146,Trondheim kretsfengsel avd. C (Kongens gate 85),A-Few-Weeks,1942-02-24,1942-03-16
Q138361413,Sigmund Ernst Bernstein,P2632,place of detention,Q140459443,Berg,A-Few-Weeks,1942-10-28,1942-11-26
Q111977647,Josef Bilík,P2632,place of detention,Q318861,Theresienstadt Small Fortress,A-Few-Weeks,1945-02-06,1945-02-28
Q139651501,Christian Jens Tolderlund-Jensen,P2632,place of detention,Q140459442,Åkebergveien (Oslo kretsfengsel avd. B),A-Few-Weeks,1945-02-24,1945-04-12
Q139635726,Aksel Strand Wahl,P2632,place of detention,Q140458828,Hammerfest hjelpefengsel,A-Few-Weeks,1944-03-03,1944-03-09
Q139641189,Johannes Tømmervåg,P2632,place of detention,Q637411,Grini detention camp,A-Few-Weeks,1945-02-24,1945-05-08
Q138363929,Kristoffer Bremer Beheim,P2632,place of detention,Q140459457,"Akershus festning, Kriegswehrmachtsgefängnis",A-Few-Weeks,1944-12-16,
Q139643390,Johan Lyder von Tangen,P2632,place of detention,Q140459491,Bergen kretsfengsel,A-Few-Weeks,1943-08-02,1943-08-18
Q139653168,Frans Leon van den Bosch,P2632,place of detention,Q140459456,Trondheim,A-Few-Weeks,1943-07-13,1943-07-15
Q139629713,Andreas Gjørven,P2632,place of detention,Q2217762,Falstad concentration camp,A-Few-Weeks,1944-06-07,1944-08-10
Q138375853,Olav (Henry) Ingebrigtsen,P2632,place of detention,Q140459491,Bergen kretsfengsel,A-Few-Weeks,1944-09-10,1944-09-12
Q139647709,Trygve Eilert Jensen,P2632,place of detention,Q2217762,Falstad concentration camp,A-Few-Weeks,1944-09-10,1944-09-20
Q139650410,Oskar Arnholdt Østerhus,P2632,place of detention,Q140458793,Kristiansand kretsfengsel,A-Few-Weeks,1943-08-11,1943-08-21
Q139639260,Sverre Haagensen,P2632,place of detention,Q2217762,Falstad concentration camp,A-Few-Weeks,1945-03-20,1945-05-08
Q138369007,Sigurd Bernhoff Evensen,P2632,place of detention,Q140459436,Stavanger,A-Few-Weeks,1944-12-02,1944-12-28
Q139636947,Peder Nordanger,P2632,place of detention,Q140459506,Ulven,A-Few-Weeks,1943-08-28,1943-11-20
Q138375258,Sigurd Koch,P2632,place of detention,Q2217762,Falstad concentration camp,A-Few-Weeks,1941-12-05,1942-02-12
Q139631231,Olav Bjarne Salvesen,P2632,place of detention,Q140458872,Arendal hjelpefengsel,A-Few-Weeks,1944-01-17,1944-01-18
Q138361824,Ivan Blisnjuk,P2632,place of detention,Q2217762,Falstad concentration camp,A-Few-Weeks,1944-08-23,1944-09-22
Q139646378,Sveinung Olsen Sperrudstøkke,P2632,place of detention,Q637411,Grini detention camp,A-Few-Weeks,1942-04-22,1943-12-11
Q138372767,Mikael Hovhaugholen,P2632,place of detention,Q140459457,"Akershus festning, Kriegswehrmachtsgefängnis",A-Few-Weeks,1944-03-29,1944-04-15
Q139638180,Jorun Johansen,P2632,place of detention,Q637411,Grini detention camp,A-Few-Weeks,1942-08-18,1942-12-02
Q88592565,April 2020 Cameron County shelter-in-place order,P582,end time,2020-04-08T00:00:00Z,2020-04-08T00:00:00Z,A-Few-Weeks,2020-03-23,2020-04-06
Q139645256,Kristian Meinhart Nygård,P2632,place of detention,Q140459146,Trondheim kretsfengsel avd. C (Kongens gate 85),A-Few-Weeks,1944-04-18,1944-04-20
Q138378140,August Johansen Lysgård,P2632,place of detention,Q140459381,Mo i Rana,A-Few-Weeks,1943-09-08,
Q23786075,2016 UCI Mountain Bike World Cup,P276,location,Q676017,Lenzerheide,A-Few-Weeks,2016-07-09,2016-07-10
Q23944650,Hermann Schidorsky,P2632,place of detention,Q140459146,Trondheim kretsfengsel avd. C (Kongens gate 85),A-Few-Weeks,1942-10-07,1942-10-08
Q138372811,Sigrid Huss,P2632,place of detention,Q140458897,Kabelvåg hjelpefengsel,A-Few-Weeks,1943-03-04,1943-04-10
Q138380563,Marius Lauri',P2632,place of detention,Q140459448,Trondheim kretsfengsel avd. A (Vollan),A-Few-Weeks,1944-10-06,1944-10-30
Q138373899,Alfred Aleksander Jarwson,P2632,place of detention,Q140459448,Trondheim kretsfengsel avd. A (Vollan),A-Few-Weeks,1943-11-24,1943-12-03
Q118948462,Marcelle Baron,P2632,place of detention,Q47515834,Zwodau concentration camp,A-Few-Weeks,1944-06-17,1945-05-08
Q48754487,"Paul Beneke (ship, 1936)",P1029,crew members,Q4526650,Heinrich Schroeteler,A-Few-Weeks,1937-09-13,1937-09-22
Q139642088,Knut Sigurd Alnæs,P2632,place of detention,Q140459448,Trondheim kretsfengsel avd. A (Vollan),A-Few-Weeks,1941-12-07,1942-01-20
Q138376414,Svein Langset,P2632,place of detention,Q140459441,Møllergata 19,A-Few-Weeks,1943-12-09,1943-12-09
Q138364101,Erling Johan Berg,P2632,place of detention,Q2217762,Falstad concentration camp,A-Few-Weeks,1944-11-19,1945-01-19
Q133543495,Olav Dyvik,P2632,place of detention,Q637411,Grini detention camp,A-Few-Weeks,1943-02-07,1944-05-09
Q138364774,Paul Bona,P2632,place of detention,Q140459448,Trondheim kretsfengsel avd. A (Vollan),A-Few-Weeks,1945-03-05,1945-03-06
Q138359663,Lars Anker Aabøl,P2632,place of detention,Q637411,Grini detention camp,A-Few-Weeks,1942-03-26,1942-03-31
Q138367256,Edvard Matias Lund Edvardsen,P2632,place of detention,Q140459448,Trondheim kretsfengsel avd. A (Vollan),A-Few-Weeks,1944-08-18,1944-09-11
Q138370904,Bernhard Andersen,P2632,place of detention,Q637411,Grini detention camp,A-Few-Weeks,1942-11-12,1942-12-14
Q138373556,Ottar Falmår,P2632,place of detention,Q140459535,Hell,A-Few-Weeks,1944-06-15,1944-07-12
Q138606897,Ludvig Melzer,P2632,place of detention,Q140459443,Berg,A-Few-Weeks,1942-10-31,1942-11-26
Q139658346,Hans Sørensen,P2632,place of detention,Q637411,Grini detention camp,A-Few-Weeks,1944-07-25,1944-01-01
Q139656600,Gunnar Gundersen Sortland,P2632,place of detention,Q140459491,Bergen kretsfengsel,A-Few-Weeks,1943-05-11,1943-05-26
Q138374437,Karsten Alfred Johnsen,P2632,place of detention,Q140459448,Trondheim kretsfengsel avd. A (Vollan),A-Few-Weeks,1944-06-10,1944-06-12
Q139649290,Tor Todal,P2632,place of detention,Q2217762,Falstad concentration camp,A-Few-Weeks,1944-09-30,1944-12-12
Q139634866,Sara Fernanda Wold,P2632,place of detention,Q140458793,Kristiansand kretsfengsel,A-Few-Weeks,1944-05-02,1944-05-03
Q139627614,John Skaugrud,P2632,place of detention,Q140459448,Trondheim kretsfengsel avd. A (Vollan),A-Few-Weeks,1941-12-18,1941-12-20
Q138376430,Martin P. Langseth,P2632,place of detention,Q140459146,Trondheim kretsfengsel avd. C (Kongens gate 85),A-Few-Weeks,1944-06-28,1944-07-19
Q139625840,Harald (Sandalsnes) Riise,P2632,place of detention,Q637411,Grini detention camp,A-Few-Weeks,1944-10-26,1945-05-08
Q139638885,Hilmar Keiland Olsen,P2632,place of detention,Q140459146,Trondheim kretsfengsel avd. C (Kongens gate 85),A-Month,1941-11-10,1941-11-25
Q138607155,Wilhelm Rothkopf,P2632,place of detention,Q140459441,Møllergata 19,A-Month,1942-02-13,1942-05-13
Q139650103,Petter Åmland,P2632,place of detention,Q140458793,Kristiansand kretsfengsel,A-Month,1944-11-23,1944-12-13
Q705179,Chuan Chih-Yuan,P1352,ranking,15.0,15.0,A-Month,2017-09-01,2017-10-01
Q138375107,Hans Christian Knudsen,P2632,place of detention,Q140459419,Bardufoss,A-Month,1944-09-07,1945-01-30
Q26256161,"Johan Barthold Jongkind, 1819-1891",P276,location,Q11357837,Mie Prefectural Art Museum,A-Month,1983-01-08,1983-02-13
Q139652135,Arnold Rønning,P2632,place of detention,Q637411,Grini detention camp,A-Month,1944-09-22,1945-05-08
Q138377961,Hjalmar Andreas Nilsen,P2632,place of detention,Q140459344,Tromsø,A-Month,1943-01-17,1943-03-02
Q964024,Moldavian Democratic Republic,P31,instance of,Q3624078,sovereign state,A-Month,1918-02-06,1918-03-27
Q139641549,Leif Herman Jacobsen,P2632,place of detention,Q15204401,Bredtveit prison,A-Month,1942-11-26,1943-02-01
Q139650004,Haakon Moe,P2632,place of detention,Q140459441,Møllergata 19,A-Month,1944-08-16,1944-11-27
Q689619,U-35,P4791,commanded by,Q57253,Otto Kretschmer,A-Month,1937-07-31,1937-08-15
Q138370855,Thoralf Arnt  Albrigtsen,P2632,place of detention,Q2217762,Falstad concentration camp,A-Month,1944-10-14,1945-01-19
Q139645569,Erling Marinius Thorsen,P2632,place of detention,Q140459442,Åkebergveien (Oslo kretsfengsel avd. B),A-Month,1942-07-02,1942-07-04
Q21027989,Stefan Fegerl,P1352,ranking,22.0,22.0,A-Month,2015-12-01,2016-01-01
Q115018285,War Portraits Painted at the time of the Peace Conference,P276,location,Q49208,Rhode Island School of Design,A-Month,1921-03-02,1921-03-23
Q139648519,Paul Okkenhaug,P2632,place of detention,Q140459448,Trondheim kretsfengsel avd. A (Vollan),A-Month,1945-01-11,1945-03-14
Q330988,Democratic Kampuchea,P6,head of government,Q379203,Khieu Samphan,A-Month,1976-04-04,1976-04-11
Q138366430,John Johansen Damli,P2632,place of detention,Q637411,Grini detention camp,A-Month,1944-09-22,1945-04-27
Q139641321,Gustav Slette,P2632,place of detention,Q140459748,Aussendienststelle Kristiansand (Arkivet),A-Month,1945-03-01,1945-03-01
Q138607652,Svein Engelsen,P2632,place of detention,Q637411,Grini detention camp,A-Month,1944-07-18,1944-09-06
Q110860660,Lijst Linssen,P1410,number of seats in assembly,6.0,6.0,A-Month,2010-04-07,2010-04-25
Q139651419,Vojtěch Pintrava,P2632,place of detention,Q140459456,Trondheim,A-Month,1943-03-05,1943-03-05
Q258610,Pär Gerell,P1352,ranking,35.0,35.0,A-Month,2015-11-01,2015-11-01
Q139658116,Margit Eugenie Hartmann,P2632,place of detention,Q637411,Grini detention camp,A-Month,1944-06-03,1944-08-10
Q138380606,Birger Elenius Mortensen,P2632,place of detention,Q140459448,Trondheim kretsfengsel avd. A (Vollan),A-Month,1943-04-24,1943-05-04
Q139646026,Oskar Pettersen,P2632,place of detention,Q140459441,Møllergata 19,A-Month,1942-10-20,1942-12-04
Q139645187,Arvid Collin,P2632,place of detention,Q140459448,Trondheim kretsfengsel avd. A (Vollan),A-Month,1942-03-07,1942-03-26
Q139648643,Petra Marie Ona,P2632,place of detention,Q140459616,Ålesund kretsfengsel,A-Month,1942-08-12,1942-08-20
Q139629070,Anders Johan Guttormsen,P2632,place of detention,Q140458828,Hammerfest hjelpefengsel,A-Month,1944-06-09,1944-06-10
Q139653154,Alois Dittrich,P2632,place of detention,Q140459456,Trondheim,A-Month,1943-03-06,1943-03-06
Q139652988,Josef Kubesch,P2632,place of detention,Q140459448,Trondheim kretsfengsel avd. A (Vollan),A-Month,1942-12-13,1942-12-16
Q138375046,Theodor Kjørlaug,P2632,place of detention,Q637411,Grini detention camp,A-Month,1943-05-08,1943-12-19
Q139656024,Arne Olai Ingvald Hansen,P2632,place of detention,Q2217762,Falstad concentration camp,A-Month,1944-10-18,1945-01-19
Q139633506,Willy Franche Ånerud,P2632,place of detention,Q637411,Grini detention camp,A-Month,1944-03-15,
Q30128441,Lin Gaoyuan,P1352,ranking,7.0,7.0,A-Month,2017-11-01,2017-11-01
Q1144791,Viipuri Province,P17,country,Q33,Finland,A-Month,1917-12-06,1944-09-19
Q138370624,Hans Olai Benjaminsen,P2632,place of detention,Q2217762,Falstad concentration camp,A-Month,1944-11-19,1945-01-19
Q138371347,Lilly Edvarda Hansen,P2632,place of detention,Q15204401,Bredtveit prison,A-Month,1944-01-20,1944-02-17
Q138370390,Rolf Normann Emanuelsen,P2632,place of detention,Q140459371,Sverige,A-Month,1945-04-30,
Q138363553,Ivar Lars Aune,P2632,place of detention,Q140459146,Trondheim kretsfengsel avd. C (Kongens gate 85),A-Month,1942-05-03,1942-05-07
Q139642404,Oskar Mowinckel,P2632,place of detention,Q11967915,Espeland prisoner-of-war camp,A-Month,1944-01-18,1944-04-05
Q139650702,Willy Ole Pettersen,P2632,place of detention,Q140459441,Møllergata 19,A-Month,1943-01-28,1943-04-20
Q139640681,Leif Evanger,P2632,place of detention,Q140459506,Ulven,A-Month,1941-10-04,1941-11-18
Q138371876,Rolf Kristian Haugerud,P2632,place of detention,Q15204401,Bredtveit prison,A-Month,1942-06-11,1942-07-31
Q18119637,Gennadij Tsypkalov,P39,position held,Q110994624,First Vice Prime Minister,A-Month,2014-05-27,2014-08-01
Q139652734,Pjotr Stepanov,P2632,place of detention,Q140459448,Trondheim kretsfengsel avd. A (Vollan),A-Month,1944-06-19,1944-09-11
Q139637779,Sverre Gjendem,P2632,place of detention,Q140459448,Trondheim kretsfengsel avd. A (Vollan),A-Month,1942-09-07,1942-10-23
Q138380751,Arne Mikkelhaug,P2632,place of detention,Q2217762,Falstad concentration camp,A-Month,1944-01-25,1944-05-07
Q138377436,Andreas Martinius Lindås,P2632,place of detention,Q637411,Grini detention camp,A-Month,1943-12-03,1943-12-18
Q139637103,Olaf Johan Rutledal,P2632,place of detention,Q140459386,Alt Moabit,A-Month,1943-06-10,1943-08-30
Q139653446,Albert MacLean,P2632,place of detention,Q140459448,Trondheim kretsfengsel avd. A (Vollan),A-Month,1943-09-03,1943-09-08
Q138371086,Gustav Alfred Bengtzon,P2632,place of detention,Q140459310,Tromsdalen,A-Month,1944-08-21,1944-10-10
Q20107451,Chester Gustav Nordik,P2632,place of detention,Q312478,Neuengamme concentration camp,A-Month,1944-11-28,1945-04-21
Q458310,Li Jiao,P1352,ranking,324.0,324.0,A-Month,2018-05-01,2018-05-01
Q139635385,Oluf Andreas Grønhaug,P2632,place of detention,Q637411,Grini detention camp,A-Month,1943-05-23,1943-07-29
Q139655959,Fredd Meyer Louis Ottesen,P2632,place of detention,Q2217762,Falstad concentration camp,A-Month,1944-11-19,1945-01-19
Q138371130,Olav Amandus Berntzen,P2632,place of detention,Q140459310,Tromsdalen,A-Month,1944-12-17,1945-02-21
Q1372937,Uusimaa Province,P17,country,Q33,Finland,A-Month,1917-12-06,1997-08-31
Q139643248,Egil Seger,P2632,place of detention,Q140459498,KdS Bergen (Veiten),A-Month,1944-10-12,1944-12-10
Q104891144,16 Dutch Jewellery Designers,P276,location,Q104900234,Galerie Philippe Debray,A-Month,1986-04-23,1986-05-11
Q139649546,Magnar Larsen,P2632,place of detention,Q140459457,"Akershus festning, Kriegswehrmachtsgefängnis",A-Month,1944-05-25,1944-06-07
Q470010,Dana Čechová,P1352,ranking,125.0,125.0,A-Month,2016-05-01,2016-05-01
Q139638656,Janne Marie Krøtøy,P2632,place of detention,Q2217762,Falstad concentration camp,A-Month,1944-12-02,1945-01-02
Q4723562,Alfred Vågnes,P2632,place of detention,Q140459310,Tromsdalen,A-Month,1944-10-07,1944-11-17
Q139637251,Fritz Størseth,P2632,place of detention,Q140459448,Trondheim kretsfengsel avd. A (Vollan),A-Month,1944-06-07,1944-09-09
Q138362899,Ragnar Asbjørn Brynhildsen,P2632,place of detention,Q637411,Grini detention camp,A-Month,1943-01-23,1943-02-15
Q2240766,Werknemers Groepering,P1410,number of seats in assembly,6.0,6.0,A-Month,2018-04-11,2018-05-15
Q138375250,Mikkel Kobbeltvedt,P2632,place of detention,Q11967915,Espeland prisoner-of-war camp,A-Month,1943-09-28,1943-11-20
Q138368321,Gustav Engedal,P2632,place of detention,Q140459310,Tromsdalen,A-Month,1944-10-19,1944-11-11
Q139649145,Arthur Tetmo,P2632,place of detention,Q2217762,Falstad concentration camp,A-Month,1945-01-06,1945-05-08
Q30164739,Mike Hill,P39,position held,Q30524710,member of the 57th Parliament of the United Kingdom,A-Month,2017-06-08,2019-09-22
Q138370494,Petter Pedersen Bjørnstad,P2632,place of detention,Q140459419,Bardufoss,A-Month,1944-09-07,
Q973508,Petr Korbel,P1352,ranking,142.0,142.0,A-Month,2016-07-01,2016-07-01
Q138361067,Johan Eilert Bentsen,P2632,place of detention,Q140459448,Trondheim kretsfengsel avd. A (Vollan),A-Month,1944-12-19,1945-01-05
Q2413242,Progressief Ermelo,P1410,number of seats in assembly,2.0,2.0,A-Month,2010-04-06,2010-04-13
Q138380791,Aksel Bernt Wegener Misje,P2632,place of detention,Q154498,Sachsenhausen concentration camp,A-Month,1944-01-12,
Q5901753,Kristian Karlsson,P1352,ranking,24.0,24.0,A-Month,2017-07-01,2017-07-01
Q139642559,Dag Egede-Nissen,P2632,place of detention,Q140459457,"Akershus festning, Kriegswehrmachtsgefängnis",A-Month,1944-10-16,1945-02-05
Q138374157,Bjarne Frank Johansen,P2632,place of detention,Q140459457,"Akershus festning, Kriegswehrmachtsgefängnis",A-Month,1944-04-03,1944-04-17
Q138375216,Edith Sonja Knutsen,P2632,place of detention,Q140459491,Bergen kretsfengsel,A-Month,1942-05-07,1942-06-26
Q139638107,Olav Haugen,P2632,place of detention,Q7393493,SS Donau,A-Month,1943-12-09,1943-12-11
Q139645088,Harald Johannes Nilssen,P2632,place of detention,Q2217762,Falstad concentration camp,A-Month,1945-01-06,1945-03-14
Q139627569,Jørgen Oskar Sæther,P2632,place of detention,Q140459419,Bardufoss,A-Month,1944-03-22,1944-07-01
Q254995,Li Xiaoxia,P1352,ranking,3.0,3.0,A-Month,2013-08-01,2015-02-01
Q139642510,Edvard Olai Olsen,P2632,place of detention,Q140459491,Bergen kretsfengsel,A-Month,1941-07-25,1941-08-04
Q119170515,The Odd of Love,P276,location,Q618988,Singapore Indoor Stadium,A-Month,2023-08-19,2023-08-20
Q5969329,Erik Løchen,P2632,place of detention,Q637411,Grini detention camp,A-Month,1944-03-11,1944-04-27
Q138378168,Per Lægreid,P2632,place of detention,Q140459491,Bergen kretsfengsel,A-Month,1942-02-26,1942-03-11
Q138373103,Wilhelm Ingenius Østgaard Hansen,P2632,place of detention,Q2217762,Falstad concentration camp,A-Month,1944-11-19,1945-01-19
Q138377887,Aasmund Gerhard Nilsen,P2632,place of detention,Q140459616,Ålesund kretsfengsel,A-Month,1944-12-04,1944-12-15
Q138359395,Tore Bjørn Ottersland,P2632,place of detention,Q140459748,Aussendienststelle Kristiansand (Arkivet),A-Month,1943-11-15,1943-12-21
Q138369292,Leo Tiburtius Finne,P2632,place of detention,Q637411,Grini detention camp,A-Month,1944-11-16,1945-04-07
Q138363750,Einar Balchen,P2632,place of detention,Q637411,Grini detention camp,A-Month,1942-10-05,1943-04-30
Q111257073,B06-L2000,P1410,number of seats in assembly,3.0,3.0,A-Month,2010-03-15,2010-03-16
Q3120927,Panagiotis Gionis,P1352,ranking,23.0,23.0,A-Month,2015-09-01,2015-09-01
Q139657900,Ruth Alfhild Tollefsen,P2632,place of detention,Q637411,Grini detention camp,A-Month,1944-06-28,1944-07-07
Q139656125,Emil Henrik Østby,P2632,place of detention,Q140459442,Åkebergveien (Oslo kretsfengsel avd. B),A-Month,1943-08-28,1945-04-12
Q138360932,Czesław Bartłomiejczyk,P2632,place of detention,Q2217762,Falstad concentration camp,A-Month,1945-01-06,1945-03-14
Q138366686,Harald  Stene Dehlin,P2632,place of detention,Q140459748,Aussendienststelle Kristiansand (Arkivet),A-Month,1945-01-25,1945-03-14
Q139643088,Konrad Martin Thomassen,P2632,place of detention,Q154498,Sachsenhausen concentration camp,A-Few-Months,1945-02-11,
Q139630284,Karl Oskar Ågren,P2632,place of detention,Q140459448,Trondheim kretsfengsel avd. A (Vollan),A-Few-Months,1945-03-14,1945-03-14
Q25252555,Shen Peiran,P468,dan/kyu rank,Q23008953,5 dan,A-Few-Months,2018-10-01,2019-09-01
Q138359374,Johan Nordaas,P2632,place of detention,Q637411,Grini detention camp,A-Few-Months,1943-08-19,1943-12-09
Q137803252,Black Pulp!,P276,location,Q16928213,University of South Florida Contemporary Art Museum,A-Few-Months,2016-06-02,2016-07-22
Q3616,Tehran,P6,head of government,Q30323771,Piruz Hanachi,A-Few-Months,2018-11-28,2021-08-08
Q139643082,Alf Thomassen,P2632,place of detention,Q11967915,Espeland prisoner-of-war camp,A-Few-Months,1943-11-04,1944-01-05
Q138372924,Edith Marie Højdahl,P2632,place of detention,Q140459491,Bergen kretsfengsel,A-Few-Months,1943-11-04,1944-05-09
Q139645345,Bernt Nilsen Røstad,P2632,place of detention,Q140459457,"Akershus festning, Kriegswehrmachtsgefängnis",A-Few-Months,1942-08-26,
Q139656253,Knut Walter Steen,P2632,place of detention,Q140459441,Møllergata 19,A-Few-Months,1943-04-07,1943-05-04
Q139630999,Sigurd Olsen-Lilletrøen,P2632,place of detention,Q140459491,Bergen kretsfengsel,A-Few-Months,1943-07-05,1943-07-19
