entity,relation,value,frequency,start_time,end_time
Q139649546,P2632,Q140459457,A-Month,1944-05-25,1944-06-07
Q470010,P1352,125.0,A-Month,2016-05-01,2016-05-01
Q139638656,P2632,Q2217762,A-Month,1944-12-02,1945-01-02
Q4723562,P2632,Q140459310,A-Month,1944-10-07,1944-11-17
Q139637251,P2632,Q140459448,A-Month,1944-06-07,1944-09-09
Q138362899,P2632,Q637411,A-Month,1943-01-23,1943-02-15
Q2240766,P1410,6.0,A-Month,2018-05-22,2018-05-27
Q138375250,P2632,Q11967915,A-Month,1943-09-28,1943-11-20
Q138368321,P2632,Q140459310,A-Month,1944-10-19,1944-11-11
Q139649145,P2632,Q2217762,A-Month,1945-01-06,1945-05-08
Q30164739,P39,Q30524710,A-Month,2019-09-22,2019-10-17
Q138370494,P2632,Q140459419,A-Month,1944-09-07,
Q973508,P1352,142.0,A-Month,2016-07-01,2016-07-01
Q138361067,P2632,Q140459448,A-Month,1944-12-19,1945-01-05
Q2413242,P1410,2.0,A-Month,2010-04-06,2010-04-13
Q138380791,P2632,Q154498,A-Month,1944-01-12,
Q5901753,P1352,24.0,A-Month,2017-07-01,2017-07-01
Q139642559,P2632,Q140459457,A-Month,1944-10-16,1945-02-05
Q138374157,P2632,Q140459457,A-Month,1944-04-03,1944-04-17
Q138375216,P2632,Q140459491,A-Month,1942-07-22,
Q139638107,P2632,Q7393493,A-Month,1943-12-09,1943-12-11
Q139645088,P2632,Q2217762,A-Month,1945-01-06,1945-03-14
Q139627569,P2632,Q140459419,A-Month,1944-03-22,1944-07-01
Q254995,P1352,3.0,A-Month,2016-09-01,2016-12-01
Q139642510,P2632,Q140459491,A-Month,1941-10-13,1941-10-13
Q119170515,P276,Q618988,A-Month,2023-08-19,2023-08-20
Q5969329,P2632,Q637411,A-Month,1944-03-11,1944-04-27
Q138378168,P2632,Q140459491,A-Month,1942-02-26,1942-03-11
Q138373103,P2632,Q2217762,A-Month,1944-11-19,1945-01-19
Q138377887,P2632,Q140459616,A-Month,1944-12-04,1944-12-15
Q138359395,P2632,Q140459748,A-Month,1943-11-15,1943-12-21
Q138369292,P2632,Q637411,A-Month,1944-11-16,1945-04-07
Q138363750,P2632,Q637411,A-Month,1942-10-05,1943-04-30
Q111257073,P1410,3.0,A-Month,2010-03-15,2010-03-16
Q3120927,P1352,23.0,A-Month,2015-09-01,2015-09-01
Q139657900,P2632,Q637411,A-Month,1944-06-28,1944-07-07
Q139656125,P2632,Q140459442,A-Month,1943-08-28,1945-04-12
Q138360932,P2632,Q2217762,A-Month,1945-01-06,1945-03-14
Q138366686,P2632,Q140459748,A-Month,1945-01-25,1945-03-14
Q139643088,P2632,Q154498,A-Few-Months,1945-02-11,
Q139630284,P2632,Q140459448,A-Few-Months,1945-03-14,1945-03-14
Q25252555,P468,Q23008953,A-Few-Months,2018-10-01,2019-09-01
Q138359374,P2632,Q637411,A-Few-Months,1943-08-19,1943-12-09
Q137803252,P276,Q16928213,A-Few-Months,2016-06-02,2016-07-22
Q3616,P6,Q30323771,A-Few-Months,2018-11-28,2021-08-08
Q139643082,P2632,Q11967915,A-Few-Months,1943-11-04,1944-01-05
Q138372924,P2632,Q140459491,A-Few-Months,1943-11-04,1944-05-09
Q139645345,P2632,Q140459457,A-Few-Months,1942-08-26,
Q139656253,P2632,Q140459441,A-Few-Months,1943-12-03,1945-04-05
Q139630999,P2632,Q140459491,A-Few-Months,1945-03-28,1945-04-06
Q50738495,P39,Q4047513,A-Few-Months,2019-04-30,2019-10-03
Q110860361,P1410,4.0,A-Few-Months,2010-03-23,2010-05-17
Q349024,P39,Q27169,A-Few-Months,2007-01-01,2007-12-09
Q4052067,P361,Q1527672,A-Few-Months,1942-01-22,1942-08-31
Q110860619,P1410,3.0,A-Few-Months,2009-02-23,2010-04-05
Q138380896,P2632,Q140459442,A-Few-Months,1944-06-27,1944-09-26
Q138360531,P2632,Q140459442,A-Few-Months,1942-11-20,1942-11-25
Q138361868,P2632,Q140459441,A-Few-Months,1941-07-31,1942-02-13
Q139650670,P2632,Q11967915,A-Few-Months,1944-09-23,1945-01-09
Q132885,P286,Q558689,A-Few-Months,2015-08-19,2016-04-19
Q139631181,P2632,Q11967915,A-Few-Months,1945-01-25,
Q112194867,P31,Q112187609,A-Few-Months,1942-01-28,1943-06-22
Q139658469,P2632,Q637411,A-Few-Months,1943-07-19,1944-02-02
Q138376008,P2632,Q2217762,A-Few-Months,1944-04-27,1944-06-20
Q139658353,P2632,Q140459441,A-Few-Months,1940-06-28,1940-07-03
Q5622269,P39,Q41582585,A-Few-Months,1923-12-06,1924-10-09
Q76022851,P276,Q639791,A-Few-Months,2018-11-12,2019-03-31
Q22255075,P608,Q56242284,A-Few-Months,2009-02-05,2009-05-03
Q139649534,P2632,Q140459441,A-Few-Months,1941-03-23,1942-03-24
Q99689819,P2632,Q140459441,A-Few-Months,1943-02-23,1943-09-28
Q139658211,P2632,Q140459419,A-Few-Months,1944-03-22,1944-05-13
Q20733879,P551,Q1013633,A-Few-Months,1847-10-01,1849-01-01
Q138362332,P2632,Q140459310,A-Few-Months,1943-03-26,1943-07-25
Q139633642,P2632,Q140459444,A-Few-Months,1944-11-11,
Q138607237,P2632,Q15204401,A-Few-Months,1941-11-07,1941-12-15
Q10298736,P410,Q15811059,A-Few-Months,1940-07-01,1941-07-01
Q2821224,P39,Q114757954,A-Few-Months,2024-01-02,2024-05-24
Q19841158,P54,Q16685393,A-Few-Months,2017-08-01,2018-01-01
Q138375883,P2632,Q140459442,A-Few-Months,1943-06-08,
Q133145892,P1352,178.0,A-Few-Months,2023-06-01,2023-11-01
Q75818970,P39,Q136468842,A-Few-Months,2025-03-26,2026-03-26
Q138359423,P2632,Q140459441,A-Few-Months,1943-12-08,1943-12-08
Q138362929,P2632,Q45476681,A-Few-Months,1942-07-31,
Q139635126,P2632,Q140459433,A-Few-Months,1945-01-01,1945-01-01
Q139656186,P2632,Q140459442,A-Few-Months,1945-03-21,1945-05-08
Q139648151,P2632,Q2217762,A-Few-Months,1944-11-07,1945-03-14
Q138370303,P2632,Q140459442,A-Few-Months,1942-12-01,1942-12-16
Q114755798,P159,Q1794,A-Few-Months,2021-10-25,2022-09-06
Q139638075,P2632,Q637411,A-Few-Months,1944-09-15,1944-12-30
Q16838020,P286,Q136689680,A-Few-Months,2025-11-11,
Q1257626,P286,Q949463,A-Few-Months,2018-07-01,2019-01-01
Q5833576,P39,Q107978158,A-Few-Months,1927-02-11,1930-01-30
Q139637050,P2632,Q140459491,A-Few-Months,1943-01-29,1943-02-02
Q131994875,P2632,Q2653504,A-Few-Months,1943-06-11,1944-01-17
Q138372466,P2632,Q140458793,A-Few-Months,1942-12-15,1942-12-16
Q612949,P39,Q136039196,A-Few-Months,1990-08-04,1990-08-23
Q96206989,P793,Q110916241,A-Few-Months,2024-09-10,2024-09-15
Q104854226,P39,Q40257808,A-Few-Months,1874-01-31,1875-01-04
Q139633703,P2632,Q140459497,A-Few-Months,1944-02-20,1944-07-15
Q4052039,P361,Q163647,A-Few-Months,1941-01-27,1941-10-31
Q4052011,P361,Q2764565,A-Few-Months,1942-08-25,1943-03-01
Q332881,P2632,Q5635263,A-Few-Months,1999-06-29,1999-12-30
Q138377152,P2632,Q2217762,A-Few-Months,1942-10-30,1942-12-22
Q139652484,P2632,Q637411,A-Few-Months,1944-08-11,1945-05-08
Q138371865,P2632,Q140459457,A-Few-Months,1944-04-15,1944-04-17
Q2644133,P39,Q18043391,A-Few-Months,1983-02-23,1987-04-03
Q853508,P286,Q11886825,A-Few-Months,2019-05-23,2019-12-31
Q138370598,P2632,Q637411,A-Few-Months,1943-09-20,1943-09-30
Q17409260,P39,Q18924508,A-Few-Months,2014-10-27,2014-11-07
Q139654058,P2632,Q140458874,A-Few-Months,1942-08-25,1942-08-26
Q64620912,P39,Q55691776,A-Few-Months,1965-09-24,1966-08-06
Q121076501,P54,Q730219,A-Few-Months,2025-08-20,
Q111340783,P54,Q2948701,A-Few-Months,2021-07-01,2022-07-30
Q130297675,P54,Q39487082,A-Few-Months,2023-07-01,2023-12-01
Q24476315,P31,Q587682,A-Few-Months,1948-01-15,1948-03-15
Q138377515,P2632,Q637411,A-Few-Months,1943-05-04,1943-05-24
Q138371548,P2632,Q140459457,A-Few-Months,1945-02-12,
Q138366241,P2632,Q140459441,A-Few-Months,1943-01-20,1943-06-05
Q138373314,P2632,Q2217762,A-Few-Months,1944-05-30,1944-09-20
Q139644465,P2632,Q2217762,A-Few-Months,1944-09-10,1944-10-14
Q138370267,P2632,Q140458793,A-Few-Months,1944-02-24,1944-03-10
Q183,P6794,12.82,A-Few-Months,2025-01-01,
Q139655961,P2632,Q2217762,A-Few-Months,1944-10-14,1945-01-19
Q131625655,P54,Q2947239,A-Few-Months,2021-09-03,2022-01-31
Q2458665,P2632,Q870990,A-Few-Months,1944-01-17,1945-01-07
Q137761472,P2632,Q7079755,A-Few-Months,1942-05-16,1942-07-07
Q1547133,P286,Q18639354,A-Few-Months,2026-02-05,2026-06-05
Q139636949,P2632,Q140459507,A-Few-Months,1942-05-12,1944-01-17
Q475823,P366,Q8434,A-Few-Months,1940-09-04,1941-06-21
Q139635622,P2632,Q140459310,A-Few-Months,1944-03-09,1944-03-29
Q138360986,P2632,Q140459443,A-Few-Months,1942-11-02,1942-11-26
Q138373167,P2632,Q140459442,A-Few-Months,1941-10-11,1942-02-05
Q106849070,P276,Q238587,A-Few-Months,2017-10-26,2018-02-11
Q95385152,P54,Q315463,A-Few-Months,2022-06-01,
Q877630,P4791,Q65012401,A-Few-Months,1942-11-26,1943-07-13
Q864407,P2139,157403000000.0,A-Few-Months,2022-01-30,2023-01-29
Q138376733,P2632,Q138390853,A-Few-Months,1942-04-13,1942-05-13
Q125582581,P276,Q4804909,A-Few-Months,2024-09-13,2025-01-20
Q139657504,P2632,Q637411,A-Few-Months,1943-04-05,1943-08-05
Q6084616,P54,Q5136497,A-Year,2011-01-01,2011-01-01
Q19513820,P54,Q792916,A-Year,2011-01-01,2014-01-01
Q1362561,P54,Q1023028,A-Year,2011-01-01,2011-01-01
Q430107,P286,Q2426747,A-Year,2024-06-30,2026-02-14
Q98547846,P54,Q1022912,A-Year,2019-01-01,
Q3248802,P54,Q1062259,A-Year,2000-01-01,2001-01-01
Q3607631,P54,Q459794,A-Year,1984-01-01,1985-01-01
Q2666521,P3872,831998.0,A-Year,2016-04-01,2017-03-31
Q4842703,P54,Q1263906,A-Year,2013-01-01,2013-01-01
Q3847800,P54,Q1349814,A-Year,1991-01-01,1995-01-01
Q4013231,P54,Q3626877,A-Year,1954-01-01,1955-01-01
Q7178595,P54,Q1356582,A-Year,2009-01-01,2010-01-01
Q114342431,P54,Q2657829,A-Year,2016-01-01,2017-01-01
Q7184823,P54,Q5120301,A-Year,2000-01-01,2000-01-01
Q5560261,P54,Q4683227,A-Year,2004-01-01,2006-01-01
Q137891512,P54,Q7060381,A-Year,2022-01-01,2023-01-01
Q3809893,P54,Q3590274,A-Year,1994-01-01,1994-01-01
Q2057144,P54,Q289516,A-Year,2006-01-01,2006-01-01
Q65496374,P39,Q65494714,A-Year,1964-01-13,1964-04-20
Q6701457,P54,Q3148978,A-Year,2010-01-01,2011-01-01
Q1055367,P54,Q3590842,A-Year,1943-01-01,1944-01-01
Q6791735,P54,Q2087976,A-Year,2010-01-01,
Q314384,P39,Q20766109,A-Year,1928-05-21,1932-01-25
Q3492859,P54,Q749138,A-Year,2005-01-01,2005-01-01
Q6809821,P54,Q335137,A-Year,2012-01-01,2013-01-01
Q757104,P286,Q18128076,A-Year,2022-10-20,2022-12-31
Q22674382,P54,Q1621755,A-Year,2021-01-01,2022-01-01
Q7351707,P54,Q2134801,A-Year,2004-01-01,2005-01-01
Q164346,P2632,Q637411,A-Year,1941-09-12,1942-01-30
Q26263082,P54,Q281878,A-Year,2019-02-01,2020-09-01
Q1657617,P54,Q159936,A-Year,2006-01-01,2007-01-01
Q4776046,P54,Q1985954,A-Year,2013-01-01,2015-01-01
Q137887406,P54,Q926604,A-Year,1931-01-01,1932-01-01
Q112162980,P39,Q112162674,A-Year,2016-06-24,2018-02-06
Q136751887,P54,Q12236,A-Year,1960-01-01,1963-01-01
Q2092949,P54,Q732002,A-Year,2008-01-01,2008-01-01
Q1042510,P54,Q1237429,A-Year,2004-08-01,2004-12-31
Q3769375,P54,Q6651,A-Year,1976-01-01,1977-01-01
Q60462758,P54,Q299990,A-Year,2023-01-01,2024-01-01
Q17284960,P54,Q4647323,A-Year,1936-01-01,1938-01-01
Q357994,P54,Q18659,A-Year,2003-01-01,2006-01-01
Q5336648,P54,Q18661,A-Year,1922-01-01,1923-01-01
Q623862,P54,Q169985,A-Year,2008-01-01,2008-01-01
Q68780360,P54,Q47450893,A-Year,2020-01-01,2020-01-01
Q141266532,P54,Q245162,A-Year,1973-01-01,1974-01-01
Q97741605,P54,Q22097924,A-Year,2020-01-01,
Q2680826,P54,Q1437873,A-Year,2004-01-01,2004-01-01
Q16729279,P54,Q18126379,A-Year,2011-01-01,2012-01-01
Q4912262,P54,Q1059415,A-Year,2005-01-01,2006-01-01
Q15722274,P54,Q254658,A-Year,1982-01-01,1986-01-01
Q20641684,P54,Q305285,A-Year,2002-01-01,2002-01-01
Q3538556,P937,Q30,A-Year,2026-01-01,
Q2735245,P54,Q576285,A-Year,2008-01-01,2009-01-01
Q26130518,P54,Q208552,A-Year,2020-06-30,2023-07-04
Q4715361,P54,Q1985954,A-Year,2009-01-01,2009-01-01
Q120041295,P54,Q136193640,A-Year,2025-01-01,2026-01-01
Q4755599,P54,Q291447,A-Year,2007-01-01,2012-01-01
Q24568589,P39,Q41582545,A-Year,1831-04-28,1832-12-03
Q1408776,P54,Q298333,A-Year,1980-01-01,1981-01-01
Q2038076,P54,Q2039203,A-Year,2001-01-01,2003-01-01
Q21832667,P54,Q129673,A-Year,1987-01-01,1987-01-01
Q19560542,P54,Q47965,A-Year,1928-01-01,1929-01-01
Q8061497,P54,Q1269080,A-Year,2011-01-01,2012-01-01
Q7938724,P54,Q1269122,A-Year,2008-01-01,2008-01-01
Q8022132,P3872,96346.0,A-Year,2009-07-01,2010-06-01
Q1263226,P54,Q457460,A-Year,2006-01-01,2006-01-01
Q113367477,P54,Q29607899,A-Year,2023-01-01,2023-01-01
Q3260171,P54,Q584658,A-Year,1980-01-01,1981-01-01
Q5232840,P54,Q339560,A-Year,2005-01-01,2005-01-01
Q5347204,P54,Q1849295,A-Year,2011-01-01,2011-01-01
Q63242,P54,Q897228,A-Year,1993-01-01,2005-01-01
Q131703156,P54,Q124733296,A-Year,2022-01-01,2024-08-01
Q7035070,P54,Q1269122,A-Year,2010-01-01,
Q10698891,P279,Q60181400,A-Year,2006-01-01,2009-01-01
Q16235987,P54,Q510091,A-Year,2014-01-01,2015-01-01
Q5372536,P54,Q239663,A-Year,2008-01-01,2008-01-01
Q4440001,P54,Q727147,A-Year,2009-01-01,2009-01-01
Q111983149,P54,Q136653648,A-Year,2025-01-01,2025-01-01
Q1091645,P54,Q1091780,A-Year,2011-01-01,2012-01-01
Q16225893,P54,Q15711596,A-Year,2018-01-01,2021-01-01
Q3574506,P54,Q247577,A-Year,2013-10-27,
Q5229330,P54,Q3997037,A-Year,2010-01-01,
Q124452854,P39,Q76456555,A-Year,1878-01-01,1879-01-01
Q163992,P54,Q991519,A-Year,1994-01-01,1994-01-01
Q5181704,P3872,822852.0,A-Year,2013-07-01,2014-06-01
Q767739,P54,Q30634885,A-Year,2010-07-01,2010-12-31
Q2965063,P54,Q19516,A-Year,1976-01-01,1977-01-01
Q3770805,P54,Q8643,A-Year,1976-01-01,1978-01-01
Q3266082,P54,Q3589563,A-Year,1981-01-01,1981-01-01
Q2779307,P54,Q1045811,A-Year,2004-01-01,2006-01-01
Q50374664,P1998,TLT,A-Year,2020-01-01,2020-01-01
Q321418,P4791,Q18199467,A-Year,1941-12-18,1942-11-30
Q180735,P54,Q219120,A-Year,1998-01-01,2001-01-01
Q100718711,P54,Q5020508,A-Year,2023-01-01,2024-01-01
Q389477,P54,Q642669,A-Year,2013-01-01,2014-01-01
Q7938728,P54,Q2914689,A-Year,1986-01-01,1986-01-01
Q18708030,P54,Q7850723,A-Year,2005-01-01,2005-01-01
Q4687867,P39,Q6501749,A-Year,2000-12-01,2001-06-16
Q106511717,P54,Q79461537,A-Year,2021-01-01,2021-01-01
Q125182427,P6087,Q2980215,A-Year,2018-01-01,2019-01-01
Q1358103,P54,Q1470768,A-Few-Years,2007-01-01,2012-01-01
Q7839072,P54,Q19487,A-Few-Years,1986-01-01,1987-01-01
Q53672687,P26,Q75399735,A-Few-Years,1971-01-01,1976-01-01
Q5796181,P102,Q10554126,A-Few-Years,1875-01-01,1876-01-01
Q116205725,P39,Q13436054,A-Few-Years,1876-06-01,1876-09-01
Q1537103,P54,Q289029,A-Few-Years,1998-01-01,1998-01-01
Q2874326,P39,Q23598478,A-Few-Years,1408-07-01,1415-11-22
Q4708954,P54,Q1323096,A-Few-Years,2006-01-01,2007-01-01
Q15835189,P54,Q1102935,A-Few-Years,1955-01-01,1959-01-01
Q21760532,P54,Q849544,A-Few-Years,2012-01-01,2014-01-01
Q4481825,P488,Q51541050,A-Few-Years,2018-04-01,
Q106565771,P39,Q28778415,A-Few-Years,2001-06-08,2005-02-22
Q89983422,P54,Q913202,A-Few-Years,2024-01-01,2025-01-01
Q5214923,P54,Q1816244,A-Few-Years,2005-01-01,2010-01-01
Q6221564,P54,Q1070732,A-Few-Years,1966-01-01,1969-01-01
Q2259085,P39,Q109217292,A-Few-Years,1969-01-01,1970-01-01
Q5539880,P54,Q19473,A-Few-Years,1946-01-01,1947-01-01
Q330004,P54,Q866659,A-Few-Years,2011-01-01,2013-01-01
Q6788892,P54,Q2586103,A-Few-Years,1983-01-01,1983-01-01
Q3362789,P54,Q2274220,A-Few-Years,2010-01-01,2011-01-01
Q68032256,P945,Q104309,A-Few-Years,1919-01-01,1920-01-01
Q1765956,P54,Q606210,A-Few-Years,1998-01-01,2000-01-01
Q3909040,P54,Q1136016,A-Few-Years,1935-01-01,1938-01-01
Q5541033,P54,Q18723,A-Few-Years,1964-01-01,1965-01-01
Q1811578,P54,Q2694122,A-Few-Years,2001-01-01,2001-01-01
Q3438149,P54,Q217233,A-Few-Years,1995-01-01,1996-01-01
Q1222958,P39,Q28104498,A-Few-Years,2011-01-01,2014-01-01
Q21464874,P937,Q90,A-Few-Years,1725-01-01,1734-01-01
Q2396802,P54,Q881070,A-Few-Years,2014-01-01,
Q12053160,P937,Q36600,A-Few-Years,1652-01-01,1671-01-01
Q6300532,P39,Q55265693,A-Few-Years,1799-09-22,1808-10-27
Q1465765,P54,Q297676,A-Few-Years,1971-01-01,1974-01-01
Q65030115,P39,Q17496847,A-Few-Years,2015-01-05,2017-01-02
Q108945,P54,Q1757136,A-Few-Years,2006-01-01,2006-01-01
Q16222063,P54,Q1416960,A-Few-Years,2004-01-01,2006-01-01
Q18621033,P54,Q107874794,A-Few-Years,2007-01-01,2009-01-01
Q60243938,P937,Q727,A-Few-Years,1913-01-01,1914-01-01
Q2201358,P39,Q848550,A-Few-Years,1665-01-01,1664-01-01
Q12152589,P937,Q649,A-Few-Years,1916-01-01,1978-01-01
Q2103984,P54,Q364698,A-Few-Years,2004-01-01,2008-01-01
Q6167200,P54,Q625130,A-Few-Years,2006-01-01,2007-01-01
Q1685423,P39,Q75543167,A-Few-Years,1809-03-31,1814-01-01
Q7324631,P54,Q48943,A-Few-Years,1991-01-01,1996-01-01
Q5524251,P54,Q6415701,A-Few-Years,1985-01-01,1986-01-01
Q3938900,P54,Q5095794,A-Few-Years,2009-01-01,2009-01-01
Q58331783,P39,Q43120886,A-Few-Years,2021-07-12,2023-11-20
Q8018074,P39,Q41582588,A-Few-Years,1929-05-30,1931-10-07
Q3849109,P54,Q2311455,A-Few-Years,1942-01-01,1943-01-01
Q5969471,P54,Q935441,A-Few-Years,2010-01-01,2013-01-01
Q16101779,P54,Q690074,A-Few-Years,1975-01-01,1977-01-01
Q47337591,P39,Q64447315,A-Few-Years,1885-01-01,1888-01-01
Q61650261,P39,Q61480451,A-Few-Years,1977-06-26,1980-02-17
Q82768,P641,Q217000,A-Few-Years,2007-01-01,2010-01-01
Q5339253,P39,Q41582591,A-Few-Years,1933-11-21,1935-10-25
Q8009795,P39,Q41582582,A-Few-Years,1918-12-14,1922-10-26
Q1033738,P54,Q35933,A-Few-Years,1934-01-01,1944-01-01
Q4798012,P39,Q41582579,A-Few-Years,1910-01-15,1910-11-28
Q111264661,P279,Q22231113,A-Few-Years,2007-01-01,2009-01-01
Q18215032,P54,Q2221598,A-Few-Years,2013-01-01,2014-01-01
Q10377780,P39,Q53926065,A-Few-Years,2002-04-05,2004-12-31
Q4798626,P39,Q41582587,A-Few-Years,1924-10-29,1929-05-10
Q3524592,P54,Q1254704,A-Few-Years,2003-01-01,2005-01-01
Q4068906,P17,Q139319,A-Few-Years,1917-09-14,1917-11-07
Q6893930,P54,Q5425354,A-Few-Years,2009-01-01,2011-01-01
Q1044924,P54,Q1422,A-Few-Years,1921-01-01,1922-01-01
Q50620410,P39,Q75009038,A-Few-Years,1879-01-01,1879-01-01
Q19691895,P54,Q109930040,A-Few-Years,2023-01-01,
Q4945033,P39,Q16159375,A-Few-Years,1836-01-01,1838-01-01
Q6513154,P54,Q1354077,A-Few-Years,1995-01-01,1997-01-01
Q60228734,P54,Q6887462,A-Few-Years,2017-01-01,2017-01-01
Q3365711,P31,Q2122450,A-Few-Years,1690-01-01,1694-09-18
Q5619067,P39,Q16147743,A-Few-Years,2001-10-19,2005-09-30
Q3172920,P39,Q3044918,A-Few-Years,1981-07-02,1986-04-01
Q4223730,P54,Q170040,A-Few-Years,2002-01-01,2002-01-01
Q6224131,P54,Q18750,A-Few-Years,1995-01-01,1997-01-01
Q833,P6,Q6084858,A-Few-Years,2021-08-21,2022-11-24
Q4772558,P39,Q20064986,A-Few-Years,1999-01-14,2007-01-14
Q12231635,P54,Q72844,A-Few-Years,2015-01-01,2016-01-01
Q913396,P54,Q1340181,A-Few-Years,2013-01-01,2015-01-01
Q3573255,P39,Q11388041,A-Few-Years,1875-04-25,1876-12-18
Q3260410,P39,Q56875711,A-Few-Years,1849-01-01,1849-01-01
Q42793762,P54,Q622430,A-Few-Years,2023-01-01,
Q7513146,P39,Q9045502,A-Few-Years,1973-01-25,1973-09-30
Q116770696,P39,Q12311817,A-Few-Years,1913-05-20,1918-04-22
Q30554651,P39,Q47532269,A-Few-Years,2000-05-03,2010-03-30
Q14912601,P937,Q1718,A-Few-Years,1850-01-01,1851-01-01
Q5394795,P54,Q18723,A-Few-Years,1928-01-01,1933-01-01
Q17587206,P39,Q9045502,A-Few-Years,1862-01-01,1864-01-01
Q9899,P6,Q1366279,A-Few-Years,2017-01-01,2018-01-01
Q3022088,P39,Q19801674,A-Few-Years,1996-06-06,2001-06-06
Q28036017,P39,Q98520278,A-Few-Years,2020-10-22,2024-11-01
Q6370551,P54,Q759482,A-Few-Years,2007-01-01,2007-01-01
Q18421422,P39,Q21328632,A-Few-Years,2014-10-01,2019-09-30
Q641569,P54,Q219714,A-Few-Years,2008-01-01,2011-01-01
Q3620217,P54,Q2018,A-Few-Years,1953-01-01,1960-01-01
Q75398619,P195,Q111635246,A-Few-Years,1949-06-10,
Q221752,P286,Q877918,A-Few-Years,2016-07-01,2019-06-30
Q6813237,P27,Q170468,A-Few-Years,1958-01-01,1961-01-01
Q112603305,P54,Q3492234,A-Few-Years,2004-01-01,2007-01-01
Q20262128,P39,Q83544152,A-Few-Years,1990-01-01,1994-01-01
Q656,P138,Q33923,Many-Years,1991-09-06,
Q825023,P17,Q153136,Many-Years,1711-04-29,1804-08-11
Q75698892,P281,W-8341,Many-Years,1990-01-01,1993-07-01
Q2779246,P800,Q1214490,Many-Years,1995-01-01,1996-01-01
Q121536559,P127,Q7915753,Many-Years,1960-01-01,1970-01-01
Q3176729,P937,Q3141,Many-Years,2003-01-01,2009-01-01
Q1069508,P276,Q3718,Many-Years,2010-12-10,2010-12-31
Q747191,P17,Q153136,Many-Years,1711-04-29,1804-08-11
Q4192565,P17,Q219,Many-Years,1918-05-07,1919-11-27
Q75699794,P281,W-8341,Many-Years,1990-01-01,1993-07-01
Q50349730,P102,Q327591,Many-Years,2013-01-01,2017-01-01
Q52508878,P532,Q7951,Many-Years,2011-01-01,
Q857008,P17,Q842794,Many-Years,1965-08-21,1989-12-22
Q151231,P463,Q117467,Many-Years,2022-03-22,
Q22262428,P361,Q22583324,Many-Years,1908-01-01,1918-01-01
Q12153795,P17,Q2685298,Many-Years,1947-12-30,1965-08-21
Q18761490,P276,Q3330260,Many-Years,1795-01-01,1816-01-01
Q1194284,P17,Q842794,Many-Years,1965-08-21,1989-12-22
Q2617543,P26,Q893766,Many-Years,1977-01-01,1981-01-01
Q7098592,P371,Q2907778,Many-Years,1987-03-21,1989-06-03
Q55915546,P937,Q72,Many-Years,1817-01-01,1836-01-01
Q2904,P6,Q1555359,Many-Years,1951-01-01,1975-01-01
Q339927,P17,Q203493,Many-Years,1918-12-01,1947-12-30
Q60234052,P937,Q727,Many-Years,1876-01-01,1897-01-01
Q47517363,P31,Q13025342,Many-Years,2025-03-28,
Q1191378,P17,Q655621,Many-Years,1570-08-26,1711-04-29
Q243616,P17,Q12560,Many-Years,1396-01-01,1878-07-13
Q723980,P17,Q625380,Many-Years,1526-11-21,1570-08-26
Q249942,P17,Q153136,Many-Years,1711-04-29,1804-08-11
Q12106446,P17,Q203493,Many-Years,1881-05-22,1947-12-30
Q62856463,P281,92268,Many-Years,1993-07-01,
Q16025719,P39,Q61597847,Many-Years,1914-01-01,1928-01-01
Q1133688,P6,Q16439708,Many-Years,1988-01-01,2005-01-01
Q242185,P6087,Q235326,Many-Years,1973-01-01,1977-01-01
Q18808,P17,Q28233,Many-Years,1897-10-01,1910-08-28
Q10742286,P39,Q65660309,Many-Years,1866-01-01,1869-01-01
Q12724800,P17,Q153136,Many-Years,1711-04-29,1804-08-11
Q84328,P734,Q1621139,Many-Years,1896-01-21,1936-01-01
Q4466010,P159,Q18094,Many-Years,1952-01-01,1953-01-01
Q12208612,P27,Q810,Many-Years,1948-01-01,
Q3158929,P39,Q30461,Many-Years,1959-01-01,1960-01-01
Q820637,P17,Q516160,Many-Years,1918-11-16,1918-12-01
Q99211762,P39,Q99193556,Many-Years,1901-01-01,1901-01-01
Q59720951,P127,Q36234,Many-Years,1766-01-01,1788-01-01
Q1055,P17,Q7318,Many-Years,1933-01-30,1945-05-02
Q98950305,P281,91275,Many-Years,1993-07-01,
Q12162758,P17,Q218,Many-Years,1989-12-22,
Q100143,P17,Q131964,Many-Years,1815-04-07,1859-11-10
Q5063822,P17,Q655621,Many-Years,1570-08-16,1711-04-29
Q5314527,P39,Q28401369,Many-Years,1824-01-01,1834-01-01
Q2523885,P127,Q690332,Many-Years,1942-01-01,2000-01-01
Q17327760,P27,Q7603765,Many-Years,1964-01-01,1974-01-01
Q37092443,P137,Q489565,Many-Years,1876-01-01,1923-01-01
Q4326929,P291,Q1899,Many-Years,1955-01-01,
Q652112,P127,Q1426388,Many-Years,1929-01-01,1961-09-01
Q11023272,P27,Q3087763,Many-Years,1953-01-01,1958-01-01
Q739418,P17,Q625380,Many-Years,1526-11-11,1570-08-16
Q1028222,P17,Q2685298,Many-Years,1947-12-30,1965-08-21
Q1397662,P102,Q1824395,Many-Years,1995-01-01,2005-01-01
Q12083787,P17,Q842794,Many-Years,1965-08-21,1989-12-22
Q337086,P39,Q41582581,Many-Years,1910-12-03,1918-10-17
Q461846,P7779,Q293332,Many-Years,1940-01-01,1942-01-01
