property,entity,frequency,timeline_entry_count,evaluated_n_statements
P54,Q59325306,A-Year,6,6
P54,Q59325311,A-Few-Years,4,4
P54,Q59325312,A-Year,7,7
P54,Q59551934,A-Few-Years,4,4
P54,Q59556387,A-Few-Years,3,3
P54,Q59590752,A-Few-Years,4,4
P54,Q5983368,A-Year,14,14
P54,Q5999189,A-Year,9,9
P54,Q5999918,A-Few-Years,4,4
P54,Q60048843,A-Few-Years,4,4
P54,Q60050190,A-Year,5,5
P54,Q60191767,A-Few-Years,4,4
P54,Q60213008,A-Few-Years,6,6
P54,Q60224588,A-Year,8,8
P54,Q60230003,A-Year,4,4
P54,Q60320853,A-Few-Years,3,3
P54,Q60322868,A-Year,3,3
P54,Q60322880,A-Few-Years,3,3
P54,Q60438993,A-Few-Years,4,4
P54,Q60457880,A-Year,5,5
P54,Q60462758,A-Year,5,5
P54,Q60464619,A-Year,5,5
P54,Q60633419,A-Few-Years,3,3
P54,Q60635253,A-Year,6,6
P54,Q60733772,A-Year,9,9
P54,Q60809091,A-Year,4,4
P54,Q60834890,A-Year,12,12
P54,Q60841138,A-Few-Years,3,3
P54,Q60970731,A-Year,13,13
P54,Q60988330,A-Few-Years,3,3
P54,Q61009393,A-Few-Years,5,5
P54,Q61045746,A-Few-Years,6,6
P54,Q61059363,A-Year,5,5
P54,Q61062756,A-Year,5,5
P54,Q61087006,A-Few-Years,3,3
P54,Q6111584,A-Few-Years,10,10
P54,Q611468,A-Year,14,14
P54,Q61180911,A-Few-Years,3,3
P54,Q612658,A-Year,7,7
P54,Q61298933,A-Few-Years,3,3
P54,Q6142589,Many-Years,3,3
P54,Q61449012,A-Few-Years,3,3
P54,Q61451170,A-Year,3,3
P54,Q61451714,A-Few-Years,3,3
P54,Q61518697,A-Year,5,5
P54,Q6158091,A-Year,8,8
P54,Q61624756,A-Few-Years,3,3
P54,Q6165626,A-Year,13,13
P54,Q61717428,A-Year,3,3
P54,Q61718699,A-Few-Years,5,5
P54,Q61756536,A-Year,3,3
P54,Q61819649,A-Year,3,3
P54,Q61873905,A-Year,4,4
P54,Q61886641,A-Few-Years,4,4
P54,Q61890980,A-Year,3,3
P54,Q61944466,A-Year,5,5
P54,Q61944515,A-Year,4,4
P54,Q61958777,A-Few-Years,3,3
P54,Q62128022,A-Year,3,3
P54,Q62597239,A-Few-Years,3,3
P54,Q626506,A-Few-Years,3,3
P54,Q62652790,A-Few-Years,5,5
P54,Q62714582,A-Few-Years,6,6
P54,Q63058844,A-Few-Years,3,3
P54,Q63144589,A-Few-Years,4,4
P54,Q63152578,A-Few-Years,3,3
P54,Q63167006,A-Few-Years,3,3
P54,Q63168973,A-Few-Years,3,3
P54,Q63171115,A-Few-Years,5,5
P54,Q63199279,A-Year,8,8
P54,Q63248129,A-Few-Years,3,3
P54,Q63431865,A-Few-Years,5,5
P54,Q63478797,A-Few-Years,4,4
P54,Q63511936,A-Year,4,4
P54,Q63761193,A-Year,4,4
P54,Q6396355,A-Few-Years,6,6
P54,Q64010450,A-Few-Years,3,3
P54,Q64026172,A-Year,4,4
P54,Q64029237,A-Few-Years,3,3
P54,Q64143700,A-Few-Years,3,3
P54,Q64167624,A-Few-Years,3,3
P54,Q64167818,A-Few-Years,8,8
P54,Q6435115,A-Few-Years,6,6
P54,Q64353529,A-Year,4,4
P54,Q64483921,A-Year,10,10
P54,Q64532565,A-Year,4,4
P54,Q64532664,A-Few-Years,4,4
P54,Q64593963,A-Few-Years,3,3
P54,Q64712265,A-Year,4,4
P54,Q64742962,A-Year,3,3
P54,Q64747740,A-Few-Years,3,3
P54,Q64782828,A-Few-Years,3,3
P54,Q64784055,A-Few-Years,4,4
P54,Q64784391,A-Few-Years,4,4
P54,Q64848597,A-Few-Years,5,5
P54,Q64866717,A-Year,5,5
P54,Q6487162,A-Year,9,9
P54,Q64936706,A-Few-Years,4,4
P54,Q64983690,A-Year,3,3
P54,Q65153578,A-Few-Years,4,4
P54,Q65159254,A-Year,7,7
P54,Q65161210,A-Year,7,7
P54,Q65277264,A-Year,4,4
P54,Q653484,A-Few-Years,5,5
P54,Q65551389,A-Year,6,6
P54,Q65555306,A-Year,3,3
P54,Q65657809,A-Year,3,3
P54,Q65659318,A-Few-Years,4,4
P54,Q65707407,A-Few-Years,5,5
P54,Q6571449,A-Few-Years,5,5
P54,Q65964361,A-Few-Years,4,4
P54,Q65965611,A-Year,4,4
P54,Q65966212,A-Year,15,15
P54,Q66015266,A-Year,9,9
P54,Q66070212,A-Few-Years,5,5
P54,Q66195076,A-Few-Years,4,4
P54,Q66388624,A-Few-Years,3,3
P54,Q66391676,A-Few-Years,3,3
P54,Q66441316,A-Few-Years,10,10
P54,Q66462521,A-Year,6,6
P54,Q66481255,A-Few-Years,7,7
P54,Q66603114,A-Few-Years,3,3
P54,Q66605813,A-Few-Years,7,7
P54,Q66639018,A-Few-Years,4,4
P54,Q66669252,A-Year,12,12
P54,Q66686312,A-Year,5,5
P54,Q66692105,A-Few-Years,4,4
P54,Q66725138,A-Few-Years,6,6
P54,Q66777905,A-Year,3,3
P54,Q66813361,A-Year,5,5
P54,Q66816269,A-Year,8,8
P54,Q66819539,A-Few-Years,4,4
P54,Q66825384,A-Few-Years,3,3
P54,Q66836429,A-Few-Years,5,5
P54,Q66836468,A-Few-Years,6,6
P54,Q66836744,A-Few-Years,5,5
P54,Q66836758,A-Few-Years,4,4
P54,Q66841301,A-Year,8,8
P54,Q67087732,A-Few-Years,3,3
P54,Q67088441,A-Few-Years,3,3
P54,Q67089016,A-Few-Years,6,6
P54,Q67279577,A-Few-Years,4,4
P54,Q67280406,A-Few-Years,3,3
P54,Q67515504,A-Year,4,4
P54,Q67606453,A-Year,3,3
P54,Q67801076,A-Year,5,5
P54,Q678796,A-Few-Years,4,4
P54,Q68326719,A-Year,4,4
P54,Q683392,A-Few-Years,5,5
P54,Q68364028,A-Year,4,4
P54,Q68586204,A-Year,6,6
P54,Q68608180,A-Few-Years,8,8
P54,Q68785475,A-Few-Years,3,3
P54,Q68822916,A-Few-Years,3,3
P54,Q68833908,A-Year,3,3
P54,Q68838444,A-Year,4,4
P54,Q69154184,A-Year,3,3
P54,Q69352086,A-Year,8,8
P54,Q69497242,A-Year,11,11
P54,Q695085,A-Few-Years,7,7
P54,Q7026880,A-Few-Years,5,5
P54,Q705441,A-Few-Years,9,9
P54,Q70832941,A-Year,6,6
P54,Q7086061,A-Year,20,20
P54,Q70876911,A-Year,10,10
P54,Q713290,A-Few-Years,5,5
P54,Q714476,A-Few-Years,4,4
P54,Q71458412,A-Year,5,5
P54,Q718924,A-Few-Years,5,5
P54,Q71903618,A-Year,3,3
P54,Q72037286,A-Year,3,3
P54,Q7217713,A-Few-Years,4,4
P54,Q722988,A-Few-Years,4,4
P54,Q723815,A-Few-Years,5,5
P54,Q72748457,A-Few-Years,7,7
P54,Q7282129,A-Few-Years,5,5
P54,Q72904841,A-Year,5,5
P54,Q7297506,A-Few-Years,3,3
P54,Q730760,A-Few-Years,4,4
P54,Q731107,A-Few-Years,7,7
P54,Q73590574,A-Year,9,9
P54,Q7384474,A-Few-Years,3,3
P54,Q73950945,A-Year,6,6
P54,Q744644,A-Year,6,6
P54,Q74805926,A-Year,8,8
P54,Q748471,A-Few-Years,6,6
P54,Q7509512,A-Year,9,9
P54,Q75406282,A-Few-Years,4,4
P54,Q76362040,A-Few-Years,5,5
P54,Q76623423,A-Few-Years,3,3
P54,Q76902715,A-Few-Years,3,3
P54,Q76969007,A-Year,3,3
P54,Q76970305,A-Few-Years,4,4
P54,Q77175399,A-Few-Years,3,3
P54,Q77283704,A-Year,3,3
P54,Q77352,A-Few-Years,6,6
P54,Q77355,A-Few-Years,5,5
P54,Q77633454,A-Year,3,3
P54,Q77811053,A-Few-Years,3,3
P54,Q78374347,A-Year,6,6
P54,Q79052941,A-Year,4,4
P54,Q7926203,A-Few-Years,5,5
P54,Q79464508,A-Few-Years,4,4
P54,Q79870659,A-Few-Years,3,3
P54,Q8048887,A-Year,9,9
P54,Q8049780,A-Year,8,8
P54,Q8055175,A-Few-Years,3,3
P54,Q8060520,A-Year,4,4
P54,Q8061867,A-Few-Years,5,5
P54,Q80846210,A-Few-Years,3,3
P54,Q81373668,A-Year,3,3
P54,Q81878420,A-Year,5,5
P54,Q81903148,A-Few-Years,3,3
P54,Q82372970,A-Year,3,3
P54,Q82518,A-Few-Years,3,3
P54,Q83546604,A-Few-Years,5,5
P54,Q83570189,A-Year,3,3
P54,Q83578065,A-Few-Years,3,3
P54,Q84079993,A-Few-Years,3,3
P54,Q84229591,A-Few-Years,4,4
P54,Q84302345,A-Few-Years,3,3
P54,Q84303162,A-Few-Years,3,3
P54,Q84435146,A-Few-Years,3,3
P54,Q84632377,A-Few-Years,4,4
P54,Q84709310,A-Year,3,3
P54,Q84709330,A-Few-Years,3,3
P54,Q84709360,A-Few-Years,3,3
P54,Q84727220,A-Few-Years,3,3
P54,Q847720,A-Few-Years,3,3
P54,Q84803665,A-Few-Years,3,3
P54,Q84813830,A-Year,4,4
P54,Q849332,A-Year,4,4
P54,Q85016,A-Year,9,9
P54,Q85338574,A-Few-Years,3,3
P54,Q85506219,A-Few-Years,3,3
P54,Q85545395,A-Year,6,6
P54,Q85842300,A-Few-Years,3,3
P54,Q85856647,A-Year,3,3
P54,Q85862454,A-Year,11,11
P54,Q85876984,A-Year,3,3
P54,Q85973442,A-Few-Years,4,4
P54,Q86073860,A-Few-Years,3,3
P54,Q86098483,A-Year,5,5
P54,Q87060239,A-Few-Years,3,3
P54,Q87060749,A-Year,5,5
P54,Q87061088,A-Year,5,5
P54,Q871430,A-Few-Years,6,6
P54,Q87551471,A-Few-Years,4,4
P54,Q89027226,A-Few-Years,4,4
P54,Q89042885,A-Few-Years,4,4
P54,Q89319,A-Few-Years,3,3
P54,Q89526,A-Year,8,8
P54,Q90828170,A-Few-Years,3,3
P54,Q90850209,A-Few-Years,4,4
P54,Q910507,A-Few-Years,4,4
P54,Q91151402,A-Few-Years,6,6
P54,Q913699,A-Year,9,9
P54,Q9151220,A-Few-Years,10,10
P54,Q91957555,A-Few-Years,4,4
P54,Q9217672,A-Few-Years,3,3
P54,Q92531495,A-Year,3,3
P54,Q92666878,A-Year,3,3
P54,Q926748,A-Few-Years,5,5
P54,Q929045,A-Few-Years,6,6
P54,Q929383,A-Few-Years,9,9
P54,Q931556,A-Few-Years,7,7
P54,Q9355839,A-Few-Years,7,7
P54,Q9356873,A-Year,9,9
P54,Q9366821,A-Few-Years,3,3
P54,Q9374922,A-Year,9,9
P54,Q93951915,A-Few-Years,8,8
P54,Q941408,A-Few-Years,4,4
P54,Q95189760,A-Few-Years,4,4
P54,Q95189895,A-Year,5,5
P54,Q960977,A-Few-Years,6,6
P54,Q96273390,A-Year,5,5
P54,Q96393154,A-Year,5,5
P54,Q96484473,A-Few-Years,3,3
P54,Q966025,A-Year,7,7
P54,Q96715250,A-Few-Years,3,3
P54,Q96748756,A-Year,3,3
P54,Q96759124,A-Year,5,5
P54,Q96813306,A-Year,5,5
P54,Q96902355,A-Year,5,5
P54,Q96981553,A-Few-Years,8,8
P54,Q97062156,A-Year,4,4
P54,Q97127315,A-Few-Years,5,5
P54,Q97156030,A-Few-Years,3,3
P54,Q97317469,A-Few-Years,5,5
P54,Q97539156,A-Few-Years,3,3
P54,Q97649957,A-Few-Years,3,3
P54,Q97666487,A-Year,4,4
P54,Q97707072,A-Few-Years,6,6
P54,Q97712104,A-Few-Years,8,8
P54,Q97730985,A-Few-Years,4,4
P54,Q97731328,A-Few-Years,4,4
P54,Q97731409,A-Few-Years,3,3
P54,Q97749621,A-Few-Years,6,6
P54,Q97755408,A-Few-Years,4,4
P54,Q97758419,A-Few-Years,6,6
P54,Q97921711,A-Year,5,5
P54,Q97924457,A-Few-Years,3,3
P54,Q98045134,A-Year,7,7
P54,Q98069270,A-Few-Months,4,4
P54,Q98075118,A-Few-Years,3,3
P54,Q98087487,A-Year,5,5
P54,Q98087501,A-Few-Years,3,3
P54,Q98087505,A-Few-Years,4,4
P54,Q98087747,A-Year,3,3
P54,Q98090348,A-Few-Years,4,4
P54,Q98098539,A-Year,4,4
P54,Q98107954,A-Few-Years,5,5
P54,Q98150769,A-Few-Years,5,5
P54,Q98399456,A-Few-Years,4,4
P54,Q98407664,A-Few-Years,3,3
P54,Q984528,A-Few-Years,4,4
P54,Q98495881,A-Few-Years,3,3
P54,Q98522620,A-Few-Years,3,3
P54,Q98523122,A-Year,4,4
P54,Q98523983,A-Year,5,5
P54,Q98539585,A-Year,8,8
P54,Q98716203,A-Few-Years,5,5
P54,Q98716252,A-Few-Years,5,5
P54,Q98758224,A-Few-Years,3,3
P54,Q98874812,A-Few-Years,5,5
P54,Q98893220,A-Few-Years,3,3
P54,Q98931486,A-Few-Years,3,3
P54,Q99181780,A-Year,10,10
P54,Q99232277,A-Year,3,3
P54,Q99236992,A-Few-Years,5,5
P54,Q99237117,A-Few-Years,4,4
P54,Q99293520,A-Few-Years,5,5
P54,Q99293725,A-Few-Years,3,3
P54,Q994991,A-Few-Years,4,4
P54,Q99522312,A-Few-Years,3,3
P54,Q99572088,A-Few-Years,3,3
P54,Q99641239,A-Few-Years,4,4
P54,Q99668972,A-Few-Years,3,3
P54,Q99869799,A-Year,4,4
P54,Q99870021,A-Few-Years,4,4
P54,Q99901075,A-Few-Years,3,3
P54,Q1008180,A-Year,4,4
P54,Q1024120,A-Year,14,14
P54,Q10326478,A-Few-Years,6,6
P54,Q10384540,A-Few-Years,3,3
P54,Q10392313,A-Few-Years,6,6
P54,Q10394676,A-Few-Years,4,4
P54,Q10409151,A-Few-Years,3,3
P54,Q10409547,A-Few-Years,4,4
P54,Q10414622,A-Few-Years,5,5
P54,Q10425306,A-Few-Years,7,7
P54,Q1042654,A-Few-Years,8,8
P54,Q10447706,A-Few-Years,3,3
P54,Q10449114,A-Few-Years,4,4
P54,Q10455129,A-Few-Years,4,4
P54,Q10463914,A-Few-Years,3,3
P54,Q10512122,A-Year,5,5
P54,Q10512629,A-Few-Years,4,4
P54,Q10513942,A-Few-Years,3,3
P54,Q10527159,A-Few-Years,6,6
P54,Q10547770,A-Year,8,8
P54,Q10548563,A-Few-Years,3,3
P54,Q10556735,A-Few-Years,5,5
P54,Q10557855,A-Few-Years,3,3
P54,Q109625,A-Year,3,3
P54,Q1098065,A-Few-Years,4,4
P54,Q1118424,A-Few-Years,4,4
P54,Q1133891,A-Few-Years,9,9
P54,Q1141141,A-Few-Years,4,4
P54,Q120255,A-Few-Years,7,7
P54,Q1221759,A-Few-Years,3,3
P54,Q1221821,A-Few-Years,5,5
P54,Q1221908,A-Year,3,3
P54,Q12386990,A-Few-Years,5,5
P54,Q1239047,A-Few-Years,3,3
P54,Q12391226,A-Year,9,9
P54,Q124130,A-Year,4,4
P54,Q1257523,A-Few-Years,9,9
P54,Q1280656,A-Year,7,7
P54,Q1284254,A-Few-Years,3,3
P54,Q1296785,A-Few-Years,5,5
P54,Q1300340,A-Few-Years,5,5
P54,Q1312687,A-Few-Years,3,3
P54,Q1315962,A-Few-Years,5,5
P54,Q1317006,A-Few-Years,5,5
P54,Q1317386,A-Few-Years,6,6
P54,Q1317420,A-Year,6,6
P54,Q1317992,A-Year,5,5
P54,Q1318111,A-Year,7,7
P54,Q1318258,A-Few-Years,4,4
P54,Q1318530,A-Year,4,4
P54,Q13444888,A-Few-Years,3,3
P54,Q13488162,A-Few-Years,4,4
P54,Q1353512,A-Year,5,5
P54,Q1360538,A-Few-Years,3,3
P54,Q1372098,A-Few-Years,6,6
P54,Q1386002,A-Few-Years,5,5
P54,Q1403466,A-Few-Years,3,3
P54,Q1403996,A-Year,8,8
P54,Q1404271,A-Few-Years,3,3
P54,Q1404644,A-Year,7,7
P54,Q1404872,A-Year,9,9
P54,Q1404945,A-Few-Years,4,4
P54,Q1405042,A-Year,6,6
P54,Q1405377,A-Few-Years,8,8
P54,Q1405871,A-Year,7,7
P54,Q1407587,A-Year,7,7
P54,Q1407638,A-Year,8,8
P54,Q1408354,A-Year,6,6
P54,Q1408926,A-Few-Years,6,6
P54,Q1408943,A-Few-Years,9,9
P54,Q1409223,A-Year,6,6
P54,Q14292578,A-Few-Years,5,5
P54,Q1445250,A-Few-Years,5,5
P54,Q1445324,A-Year,5,5
P54,Q1445852,A-Few-Years,6,6
P54,Q1445871,A-Few-Years,6,6
P54,Q1447905,A-Year,12,12
P54,Q1448282,A-Few-Years,5,5
P54,Q1449595,A-Year,12,12
P54,Q14630591,A-Few-Years,3,3
P54,Q1466437,A-Few-Years,5,5
P54,Q1466454,A-Few-Years,3,3
P54,Q1466646,A-Few-Years,6,6
P54,Q1467788,A-Few-Years,3,3
P54,Q1470489,A-Year,8,8
P54,Q1474102,A-Year,3,3
P54,Q14785715,A-Few-Years,5,5
P54,Q1485481,A-Year,3,3
P54,Q1486297,A-Year,8,8
P54,Q1487918,A-Year,8,8
P54,Q1489060,A-Few-Years,4,4
P54,Q1492086,A-Year,7,7
P54,Q1492105,A-Year,10,10
P54,Q14943012,A-Year,3,3
P54,Q14944370,A-Few-Years,3,3
P54,Q15042428,A-Year,5,5
P54,Q15061107,A-Year,5,5
P54,Q15062084,A-Few-Years,3,3
P54,Q1510238,A-Year,3,3
P54,Q1510611,A-Few-Years,7,7
P54,Q1510734,A-Year,3,3
P54,Q1511231,A-Few-Years,4,4
P54,Q15114390,A-Few-Years,3,3
P54,Q15132591,A-Few-Years,4,4
P54,Q15177222,A-Year,7,7
P54,Q15222805,A-Few-Years,4,4
P54,Q15229646,A-Few-Years,3,3
P54,Q1529090,A-Few-Years,5,5
P54,Q1533041,A-Few-Years,8,8
P54,Q1535708,A-Few-Years,3,3
P54,Q1536856,A-Year,7,7
P54,Q1537234,A-Year,4,4
P54,Q1537403,A-Year,11,11
P54,Q1537745,A-Year,7,7
P54,Q1537830,A-Year,7,7
P54,Q1537863,A-Year,9,9
P54,Q1537906,A-Year,8,8
P54,Q1539369,A-Few-Years,3,3
P54,Q1540513,A-Year,7,7
P54,Q1540915,A-Few-Years,6,6
P54,Q1541075,A-Few-Years,3,3
P54,Q1558789,A-Few-Years,5,5
P54,Q15624769,A-Year,6,6
P54,Q15814905,A-Few-Years,3,3
P54,Q15822329,A-Few-Years,3,3
P54,Q15832742,A-Few-Years,4,4
P54,Q15835189,A-Few-Years,10,10
P54,Q15916535,A-Few-Years,3,3
P54,Q15951130,A-Year,10,10
P54,Q1596670,A-Year,4,4
P54,Q15972124,A-Few-Years,4,4
P54,Q1597497,A-Few-Years,3,3
P54,Q1600108,A-Few-Years,8,8
P54,Q16017578,A-Few-Years,4,4
P54,Q16019430,A-Few-Years,5,5
P54,Q1606947,A-Few-Years,6,6
P54,Q1607415,A-Year,10,10
P54,Q1607844,A-Few-Years,9,9
P54,Q1609034,A-Year,5,5
P54,Q16090797,A-Few-Years,4,4
P54,Q1609137,A-Year,6,6
P54,Q16091526,A-Few-Years,3,3
P54,Q16091658,A-Few-Years,3,3
P54,Q16095835,A-Few-Years,4,4
P54,Q16095847,A-Few-Years,4,4
P54,Q1610177,A-Year,11,11
P54,Q1610227,A-Year,8,8
P54,Q16104803,A-Few-Years,12,12
P54,Q16105226,A-Few-Years,4,4
P54,Q16105567,A-Few-Years,3,3
P54,Q16105589,A-Few-Years,3,3
P54,Q16106574,A-Few-Years,4,4
P54,Q16106688,A-Year,9,9
P54,Q16106832,A-Few-Years,3,3
P54,Q1610704,A-Few-Years,4,4
P54,Q16107153,A-Year,5,5
P54,Q16115356,A-Few-Years,3,3
P54,Q16121874,A-Year,4,4
P54,Q1612208,A-Year,10,10
P54,Q1614208,A-Few-Years,6,6
P54,Q1614664,A-Year,11,11
P54,Q1615174,A-Year,11,11
P54,Q1615210,A-Few-Years,12,12
P54,Q1615631,A-Year,7,7
P54,Q1616163,A-Year,10,10
P54,Q16266738,A-Few-Years,3,3
P54,Q16268584,A-Year,6,6
P54,Q16268712,A-Year,7,7
P54,Q16268817,A-Year,5,5
P54,Q16268843,A-Year,9,9
P54,Q1628590,A-Few-Years,4,4
P54,Q1629041,A-Year,7,7
P54,Q1629156,A-Few-Years,3,3
P54,Q1634946,A-Year,7,7
P54,Q16525454,A-Few-Years,6,6
P54,Q16533964,A-Year,9,9
P54,Q16554344,A-Few-Years,4,4
P54,Q16557497,A-Few-Years,3,3
P54,Q16559521,A-Year,3,3
P54,Q16560172,A-Few-Years,4,4
P54,Q16574152,A-Few-Years,8,8
P54,Q16574237,A-Year,7,7
P54,Q16595492,A-Year,8,8
P54,Q16601928,A-Few-Years,4,4
P54,Q16727852,A-Few-Years,4,4
P54,Q16731891,A-Few-Years,3,3
P54,Q1685185,A-Few-Years,7,7
P54,Q1685735,A-Year,4,4
P54,Q1690056,A-Few-Years,4,4
P54,Q16915360,A-Few-Years,7,7
P54,Q16977497,A-Year,6,6
P54,Q16979998,A-Few-Years,3,3
P54,Q1709233,A-Year,8,8
P54,Q1714795,A-Year,4,4
P54,Q17274387,A-Year,7,7
P54,Q17280039,A-Few-Years,3,3
P54,Q17303545,A-Few-Years,3,3
P54,Q1731786,A-Few-Years,4,4
P54,Q17322925,A-Few-Years,3,3
P54,Q17341389,A-Few-Years,4,4
P54,Q17352970,A-Few-Years,4,4
P54,Q17353074,A-Year,6,6
P54,Q17428088,A-Few-Years,3,3
P54,Q1744829,A-Few-Years,4,4
P54,Q17490335,A-Few-Years,4,4
P54,Q17541416,A-Few-Years,6,6
P54,Q17625722,A-Year,5,5
P54,Q17636219,A-Few-Years,3,3
P54,Q17637811,A-Year,9,9
P54,Q17639668,A-Year,7,7
P54,Q17917734,A-Few-Years,3,3
P54,Q1793449,A-Few-Years,6,6
P54,Q1794058,A-Few-Years,5,5
P54,Q18052363,A-Few-Years,4,4
P54,Q18128711,A-Few-Years,7,7
P54,Q18162095,A-Few-Years,4,4
P54,Q18221976,A-Few-Years,3,3
P54,Q18223847,A-Few-Years,3,3
P54,Q18223965,A-Year,3,3
P54,Q18389304,A-Few-Years,5,5
P54,Q185176,A-Few-Years,9,9
P54,Q18619411,A-Few-Years,8,8
P54,Q18639519,A-Few-Years,11,11
P54,Q18685578,A-Few-Years,4,4
P54,Q18686127,A-Few-Years,5,5
P54,Q18692829,A-Few-Years,3,3
P54,Q1869969,A-Few-Years,4,4
P54,Q18705221,A-Few-Years,4,4
P54,Q18719356,A-Few-Years,3,3
P54,Q1871938,A-Few-Years,7,7
P54,Q18719397,A-Few-Years,3,3
P54,Q1873068,A-Year,8,8
P54,Q1873182,A-Year,12,12
P54,Q18736929,A-Few-Years,4,4
P54,Q18737021,A-Few-Years,5,5
P54,Q18737025,A-Year,8,8
P54,Q18737044,A-Few-Years,4,4
P54,Q18737049,A-Few-Years,10,10
P54,Q18737086,A-Year,10,10
P54,Q1874030,A-Year,7,7
P54,Q18745098,A-Few-Years,3,3
P54,Q1875982,A-Few-Years,7,7
P54,Q1876240,A-Year,11,11
P54,Q1876651,A-Year,5,5
P54,Q1876736,A-Year,7,7
P54,Q1876921,A-Year,6,6
P54,Q1877038,A-Year,4,4
P54,Q18808574,A-Few-Years,5,5
P54,Q18808623,A-Year,7,7
P54,Q18819228,A-Few-Years,5,5
P54,Q1890271,A-Few-Years,5,5
P54,Q1898729,A-Few-Years,6,6
P54,Q19281572,A-Few-Years,3,3
P54,Q19519839,A-Year,4,4
P54,Q19538871,A-Few-Years,3,3
P54,Q19593934,A-Few-Years,4,4
P54,Q19655056,A-Year,11,11
P54,Q19667751,A-Few-Years,5,5
P54,Q19667868,A-Few-Years,7,7
P54,Q1967743,A-Few-Years,6,6
P54,Q1969625,A-Year,6,6
P54,Q19832,A-Few-Years,4,4
P54,Q19845132,A-Few-Years,3,3
P54,Q19946261,A-Few-Years,5,5
P54,Q19961691,A-Few-Years,5,5
P54,Q19963819,A-Few-Years,3,3
P54,Q20007556,A-Year,5,5
P54,Q20050868,A-Year,7,7
P54,Q2007074,A-Few-Years,4,4
P54,Q20140396,A-Few-Years,6,6
P54,Q20220132,A-Year,7,7
P54,Q20222908,A-Few-Years,7,7
P54,Q2031889,A-Year,3,3
P54,Q2035231,A-Few-Years,5,5
P54,Q2037362,A-Year,10,10
P54,Q2038864,A-Few-Years,4,4
P54,Q2039285,A-Few-Years,4,4
P54,Q2042366,A-Few-Years,8,8
P54,Q2059270,A-Few-Years,5,5
P54,Q20641063,A-Year,15,15
P54,Q20641202,A-Few-Years,6,6
P54,Q20641439,A-Year,5,5
P54,Q20666336,A-Few-Years,3,3
P54,Q2071525,A-Few-Years,4,4
P54,Q20738239,A-Few-Years,3,3
P54,Q20851293,A-Year,6,6
P54,Q20989025,A-Few-Years,6,6
P54,Q21030388,A-Few-Years,4,4
P54,Q21033958,A-Year,3,3
P54,Q21033991,A-Year,5,5
P54,Q21035860,A-Few-Years,3,3
P54,Q21104273,A-Few-Years,5,5
P54,Q21123478,A-Year,9,9
P54,Q2112672,A-Few-Years,4,4
P54,Q21207294,A-Few-Years,10,10
P54,Q21211127,A-Year,5,5
P54,Q2156874,A-Few-Years,6,6
P54,Q21587548,A-Few-Years,9,9
P54,Q2173239,A-Few-Years,5,5
P54,Q2178573,A-Year,9,9
P54,Q21931789,A-Year,4,4
P54,Q21932174,A-Few-Years,3,3
P54,Q21932361,A-Few-Years,3,3
P54,Q2201252,A-Few-Years,3,3
P54,Q22041521,A-Year,4,4
P54,Q22209680,A-Few-Years,4,4
P54,Q22209960,A-Few-Years,7,7
P54,Q2224447,A-Few-Years,4,4
P54,Q22280475,A-Few-Years,4,4
P54,Q2244051,A-Few-Years,6,6
P54,Q22695596,A-Few-Years,5,5
P54,Q2294362,A-Few-Years,5,5
P54,Q2329441,A-Few-Years,4,4
P54,Q2352102,A-Few-Years,9,9
P54,Q2363803,A-Few-Years,3,3
P54,Q2375780,A-Few-Years,3,3
P54,Q2378361,A-Year,5,5
P54,Q23842904,A-Few-Years,4,4
P54,Q23842925,A-Year,12,12
P54,Q23857425,A-Few-Years,5,5
P54,Q2392331,A-Few-Years,4,4
P54,Q23925114,A-Year,9,9
P54,Q23926304,A-Year,7,7
P54,Q2403344,A-Few-Years,8,8
P54,Q24033612,A-Year,6,6
P54,Q2405168,A-Few-Years,5,5
P54,Q2415178,A-Few-Years,5,5
P54,Q2422791,A-Few-Years,3,3
P54,Q2433513,A-Few-Years,3,3
P54,Q2445235,A-Few-Years,6,6
P54,Q2455175,A-Few-Years,6,6
P54,Q2491817,A-Few-Years,4,4
P54,Q2504427,A-Few-Years,4,4
P54,Q2504872,A-Few-Years,7,7
P54,Q2519126,A-Year,8,8
P54,Q2539075,A-Few-Years,5,5
P54,Q2561363,A-Few-Years,3,3
P54,Q2561485,A-Few-Years,3,3
P54,Q2565969,A-Few-Years,5,5
P54,Q2584274,A-Few-Years,4,4
P54,Q2590155,A-Few-Years,6,6
P54,Q2646811,A-Few-Years,7,7
P54,Q2740447,A-Few-Years,3,3
P54,Q2779997,A-Few-Years,3,3
P54,Q2821346,A-Few-Years,3,3
P54,Q2828059,A-Year,5,5
P54,Q2830112,A-Year,4,4
P54,Q2830225,A-Year,4,4
P54,Q2831137,A-Year,8,8
P54,Q2832960,A-Year,6,6
P54,Q2837838,A-Year,5,5
P54,Q2839731,A-Year,9,9
P54,Q2847956,A-Few-Years,5,5
P54,Q2848298,A-Few-Years,6,6
P54,Q2898465,A-Few-Years,7,7
P54,Q289930,A-Few-Years,5,5
P54,Q2960390,A-Few-Years,5,5
P54,Q2965486,A-Few-Years,6,6
P54,Q2977070,A-Few-Years,3,3
P54,Q2977557,A-Few-Years,6,6
P54,Q3050624,A-Few-Years,3,3
P54,Q3052337,A-Few-Years,5,5
P54,Q3059394,A-Few-Years,7,7
