entity_id,entity,property_id,property,value_id,value,value_unit,frequency,frequency_days,start_time,end_time,query
Q139647242,Karl Bertinius Wehus,P2632,place of detention,Q140458793,Kristiansand kretsfengsel,,A-Week,11,1945-02-09,1945-02-20,Where was Karl Bertinius Wehus detained?
Q139653518,Henrik Rasmussen,P2632,place of detention,Q140458793,Kristiansand kretsfengsel,,A-Week,12.0,1944-11-15,1944-12-07,Where was Henrik Rasmussen detained?
Q139625512,Odd Emanuel Johansen,P2632,place of detention,Q140458793,Kristiansand kretsfengsel,,A-Week,10,1944-02-26,1944-03-07,Where was Odd Emanuel Johansen detained?
Q138376917,Øivind Jakob Molden,P2632,place of detention,Q140459661,Midtsand,,A-Week,10.0,1945-02-15,1945-02-22,Where was Øivind Jakob Molden detained?
Q139649023,Kristine Wold,P2632,place of detention,Q140459728,Trondheim kretsfengsel avd. B (Munkegata 16),,A-Week,13.0,1944-03-18,1944-03-18,Where was Kristine Wold detained?
Q138373244,Svein Hagane,P2632,place of detention,Q637411,Grini detention camp,,A-Week,9,1945-01-31,1945-05-08,Where was Svein Hagane detained?
Q138361232,Håvard Olav Berge,P2632,place of detention,Q637411,Grini detention camp,,A-Week,10,1944-05-08,,Where was Håvard Olav Berge detained?
Q139646580,Mikkjel Andersson Hovland Eskeland,P2632,place of detention,Q140458793,Kristiansand kretsfengsel,,A-Week,11.0,1942-03-21,1942-03-29,What was the place of detention of Mikkjel Andersson Hovland Eskeland?
Q138375259,Haakon Koch,P2632,place of detention,Q140458868,Bodø kretsfengsel,,A-Week,9.0,1944-09-12,1944-09-12,Where was Haakon Koch detained?
Q138359332,Alfred Waldemar Garmann Larsen,P2632,place of detention,Q637411,Grini detention camp,,A-Week,9.5,1942-03-14,1942-04-30,Where was Alfred Waldemar Garmann Larsen detained?
Q138372936,Frithjof Høstmark,P2632,place of detention,Q140459448,Trondheim kretsfengsel avd. A (Vollan),,A-Week,8.5,1944-06-02,1944-06-06,Where was Frithjof Høstmark detained?
Q139637568,Knut Harry Rokkones,P2632,place of detention,Q140459448,Trondheim kretsfengsel avd. A (Vollan),,A-Week,12,1944-08-11,1944-09-04,Where was Knut Harry Rokkones detained?
Q139644556,Walter Solberg,P2632,place of detention,Q2217762,Falstad concentration camp,,A-Week,11.0,1944-05-30,1944-06-06,Where was Walter Solberg detained?
Q138371623,Tegnander Levian Hansen,P2632,place of detention,Q140459448,Trondheim kretsfengsel avd. A (Vollan),,A-Week,9.0,1944-09-14,1944-09-29,Where was Tegnander Levian Hansen detained?
Q138378675,Knut Martinsen,P2632,place of detention,Q2217762,Falstad concentration camp,,A-Week,8.0,1944-05-30,1944-06-06,Where was Knut Martinsen detained?
Q139634919,Ole Ugland,P2632,place of detention,Q140459748,Aussendienststelle Kristiansand (Arkivet),,A-Week,9.5,1944-01-06,1944-01-08,Where was Ole Ugland detained?
Q2586881,Maarssen2000,P1410,number of seats in assembly,,2.0,unitless,A-Week,13,2018-05-09,2018-05-21,How many seats are in the assembly of Maarssen2000?
Q88592519,2020 Bell County shelter-in-place order,P582,end time,,2020-04-30T00:00:00Z,,A-Week,7,2020-04-03,2020-04-20,When did the 2020 Bell County shelter-in-place order end?
Q138975025,Nils Jørgen Grannes,P2632,place of detention,Q140459448,Trondheim kretsfengsel avd. A (Vollan),,A-Week,12,1943-06-18,1943-06-24,Where was Nils Jørgen Grannes detained?
Q138607105,Markus Moses Hurwitz,P2632,place of detention,Q21899380,Synagoge Levetzowstraße,,A-Week,8,1943-02-28,1943-03-02,Where was Markus Moses Hurwitz detained?
Q139643988,Abraham Gerhard Tothammer,P2632,place of detention,Q15204401,Bredtveit prison,,A-Week,10,1942-03-14,1942-03-21,Where was Abraham Gerhard Tothammer detained?
Q138607689,Selik Elieser Mahler,P2632,place of detention,Q140459458,Auschwitz,,A-Week,7,1942-12-01,1942-12-01,What is the place of detention of Selik Elieser Mahler?
Q138365671,Bjarne Hole Christophersen,P2632,place of detention,Q140459418,Kirkenes,,A-Week,12,1942-05-06,1942-09-19,Where was Bjarne Hole Christophersen detained?
Q138367204,Jon Torger Buø,P2632,place of detention,Q140459633,Mandal,,A-Week,12.0,1944-11-14,1944-11-14,What is the place of detention of Jon Torger Buø?
Q138372132,Kåre Krag Helland-Hansen,P2632,place of detention,Q140459441,Møllergata 19,,A-Week,8,1941-06-12,1941-06-20,What was the place of detention of Kåre Krag Helland-Hansen?
Q139651418,Miroslav Kratina,P2632,place of detention,Q637411,Grini detention camp,,A-Week,10.5,1944-09-22,1945-05-08,Where was Miroslav Kratina detained?
Q139638055,Oskar Granum,P2632,place of detention,Q140458818,Hamar fengsel,,A-Week,8,1943-11-15,1943-11-23,Where was Oskar Granum detained?
Q138606977,Salomon Tomsinsky,P2632,place of detention,Q7393493,SS Donau,,A-Week,12,1942-11-26,1942-11-30,Where was Salomon Tomsinsky detained?
Q95323205,Wilhelm Jaroschy,P2632,place of detention,Q21899380,Synagoge Levetzowstraße,,A-Week,8,1943-02-28,1943-03-02,Where was Wilhelm Jaroschy detained?
Q139649524,Edgar Eugen Pettersen,P2632,place of detention,Q140458773,Værnes,,A-Week,7,1944-04-22,1944-04-26,Where was Edgar Eugen Pettersen detained?
Q138377387,Bastian Nakken,P2632,place of detention,Q140459448,Trondheim kretsfengsel avd. A (Vollan),,A-Week,8.0,1942-09-09,1942-09-23,Where was Bastian Nakken detained?
Q138367161,Åsmund Dåsvatn,P2632,place of detention,Q140459449,Victoria terrasse,,A-Week,13,1945-01-23,1945-01-24,Where was Åsmund Dåsvatn detained?
Q139637015,Thomas Anfin Ths. Midttveit,P2632,place of detention,Q154498,Sachsenhausen concentration camp,,A-Week,9.5,1942-05-27,,Where was Thomas Anfin Ths. Midttveit detained?
Q139645241,John Olsen Lia,P2632,place of detention,Q140459535,Hell,,A-Week,13.5,1944-04-26,1944-05-11,Where was John Olsen Lia detained?
Q138367072,Ole Bull,P2632,place of detention,Q140459310,Tromsdalen,,A-Week,10.0,1944-05-10,1944-07-09,Where was Ole Bull detained?
Q138374941,Leidulf Erling Kirkhaug,P2632,place of detention,Q140459448,Trondheim kretsfengsel avd. A (Vollan),,A-Week,13.0,1944-06-26,1944-07-05,Where was Leidulf Erling Kirkhaug detained?
Q2278042,Sigurd Evensmo,P2632,place of detention,Q140459616,Ålesund kretsfengsel,,A-Week,9.5,1942-02-23,1942-02-24,Where was Sigurd Evensmo detained?
Q139634400,Bjarne Bastian Moe,P2632,place of detention,Q140459448,Trondheim kretsfengsel avd. A (Vollan),,A-Week,12,1944-08-11,1944-09-09,Where was Bjarne Bastian Moe detained?
Q138360744,Alf Morgan Baar,P2632,place of detention,Q140459441,Møllergata 19,,A-Week,10,1943-06-01,1943-06-25,Where was Alf Morgan Baar detained?
Q139648107,Ingolf Steinsund,P2632,place of detention,Q140459506,Ulven,,A-Week,11.5,1941-06-18,1941-06-26,Where was Ingolf Steinsund detained?
Q139651993,Mikhail Vanin,P2632,place of detention,Q140459748,Aussendienststelle Kristiansand (Arkivet),,A-Week,11.0,1943-12-02,1943-12-21,What is the place of detention of Mikhail Vanin?
Q138374727,Johan Andreas Kallevig,P2632,place of detention,Q637411,Grini detention camp,,A-Week,10.5,1944-04-20,,What was the place of detention of Johan Andreas Kallevig?
Q139637315,Reidar Valsø,P2632,place of detention,Q637411,Grini detention camp,,A-Week,13.5,1944-09-22,1945-04-24,Where was Reidar Valsø detained?
Q139653427,Frederik Johannes Groen,P2632,place of detention,Q140459661,Midtsand,,A-Week,13,1944-07-05,1944-08-04,Where was Frederik Johannes Groen detained?
Q139641013,Oskar Pettersen Binderø,P2632,place of detention,Q2217762,Falstad concentration camp,,A-Week,13,1944-10-08,1945-02-23,Where was Oskar Pettersen Binderø detained?
Q139639986,Anton Benedict Steen,P2632,place of detention,Q140458818,Hamar fengsel,,A-Week,8.5,1945-03-25,1945-03-28,Where was Anton Benedict Steen detained?
Q139639202,Sigurd Østevold,P2632,place of detention,Q637411,Grini detention camp,,A-Week,13.0,1942-02-01,1942-02-05,What is the place of detention of Sigurd Østevold?
Q139633079,Hans Birkeland,P2632,place of detention,Q140458872,Arendal hjelpefengsel,,A-Week,8.0,1944-07-25,1944-07-27,Where was Hans Birkeland detained?
Q139643983,Laurits Sverdrup Skjevesland,P2632,place of detention,Q637411,Grini detention camp,,A-Week,11.5,1942-03-21,1943-02-26,Where was Laurits Sverdrup Skjevesland detained?
Q17111277,Cedrik Sørensen,P2632,place of detention,Q637411,Grini detention camp,,A-Week,11.5,1944-11-25,1945-05-08,Where was Cedrik Sørensen detained?
Q139647125,Arne Kirkerud,P2632,place of detention,Q140458902,"Posthusgården (Sipo, Halden)",,A-Week,7.0,1945-02-27,1945-03-06,Where was Arne Kirkerud detained?
Q138373856,Eline Jakobsen,P2632,place of detention,Q2217762,Falstad concentration camp,,A-Week,7.0,1943-07-21,1943-08-09,Where was Eline Jakobsen detained?
Q139631361,Henry Olsen,P2632,place of detention,Q140459310,Tromsdalen,,A-Week,10,1944-05-30,1944-06-08,Where was Henry Olsen detained?
Q139641693,Olav H. Sandelien,P2632,place of detention,Q140459445,Kongsvinger festning,,A-Week,11.5,1942-03-20,1942-03-30,Where was Olav H. Sandelien detained?
Q138362985,Sven Bugge Anderssen,P2632,place of detention,Q140458868,Bodø kretsfengsel,,A-Week,9.0,1944-08-24,1944-08-31,Where was Sven Bugge Anderssen detained?
Q138607400,Trygve Anfinn Endresen,P2632,place of detention,Q140458793,Kristiansand kretsfengsel,,A-Week,10,1943-01-29,1943-02-03,Where was Trygve Anfinn Endresen detained?
Q138369526,Sigurd Follestad,P2632,place of detention,Q637411,Grini detention camp,,A-Week,10,1944-03-30,1945-05-02,Where was Sigurd Follestad detained?
Q138380574,Oskar Lauritzen,P2632,place of detention,Q140459421,Fredrikstad,,A-Week,9.0,1941-09-22,1941-09-29,Where was Oskar Lauritzen detained?
Q139637839,Tordis Granhaug,P2632,place of detention,Q140459728,Trondheim kretsfengsel avd. B (Munkegata 16),,A-Week,7.0,1943-07-11,1943-07-21,Where was Tordis Granhaug detained?
Q139653638,Albin Skorupski,P2632,place of detention,Q140459448,Trondheim kretsfengsel avd. A (Vollan),,A-Week,9,1944-09-22,1944-09-24,Where was Albin Skorupski detained?
Q139628909,Bernhard Sigurd Olsen,P2632,place of detention,Q637411,Grini detention camp,,A-Few-Weeks,28.5,1944-08-16,1945-05-08,Where was Bernhard Sigurd Olsen detained?
Q138376046,Severin Kristensen,P2632,place of detention,Q637411,Grini detention camp,,A-Few-Weeks,18.5,1944-05-06,1944-06-01,Where was Severin Kristensen detained?
Q139638381,Jørgen Kristian Arentz Rostrup,P2632,place of detention,Q637411,Grini detention camp,,A-Few-Weeks,24.5,1944-09-08,1944-10-01,Where was Jørgen Kristian Arentz Rostrup detained?
Q139643183,Kristoffer Saupstad,P2632,place of detention,Q140459441,Møllergata 19,,A-Few-Weeks,29,1942-03-30,1942-07-13,Where was Kristoffer Saupstad detained?
Q139649508,Helge Pettersen,P2632,place of detention,Q140459442,Åkebergveien (Oslo kretsfengsel avd. B),,A-Few-Weeks,15.0,1944-06-06,1944-06-19,Where was Helge Pettersen detained?
Q138365528,Erik Henschien Borthen,P2632,place of detention,Q140458868,Bodø kretsfengsel,,A-Few-Weeks,18.5,1944-08-24,1944-08-31,Where was Erik Henschien Borthen detained?
Q139629224,Arne John Hansen,P2632,place of detention,Q637411,Grini detention camp,,A-Few-Weeks,29.0,1944-08-11,1945-05-08,Where was Arne John Hansen detained?
Q138362466,Alv Knut Brandal,P2632,place of detention,Q140459616,Ålesund kretsfengsel,,A-Few-Weeks,23.0,1943-10-29,1942-11-21,Where was Alv Knut Brandal detained?
Q138607185,Martin Meszansky,P2632,place of detention,Q7393493,SS Donau,,A-Few-Weeks,16.5,1942-11-26,1942-11-30,Where was Martin Meszansky detained?
Q138372643,Arne Holt,P2632,place of detention,Q637411,Grini detention camp,,A-Few-Weeks,26.0,1943-09-18,1943-09-30,Where was Arne Holt detained?
Q27627635,Surrealism?,P276,location,Q1274511,Moderna Museet,,A-Few-Weeks,29,1970-03-07,1970-04-12,What is the location of Surrealism??
Q139651987,Grigorij Gertsik,P2632,place of detention,Q4846406,Bragdøya,,A-Few-Weeks,26.0,1944-10-21,1944-10-21,Where was Grigorij Gertsik detained?
Q138373562,Reidar Sigurd Fannemel,P2632,place of detention,Q2217762,Falstad concentration camp,,A-Few-Weeks,16.0,1944-06-07,1945-05-08,Where was Reidar Sigurd Fannemel detained?
Q213668,Viktor Goldschmidt,P2632,place of detention,Q140459443,Berg,,A-Few-Weeks,15.0,1942-10-28,1942-11-05,Where was Viktor Goldschmidt detained?
Q138692148,Michael Davidsen,P2632,place of detention,Q15204401,Bredtveit prison,,A-Few-Weeks,15.5,1942-10-26,1942-10-28,Where was Michael Davidsen detained?
Q138376814,Ånon Henry Larsen,P2632,place of detention,Q140458872,Arendal hjelpefengsel,,A-Few-Weeks,14.0,1944-01-17,1944-01-18,Where was Ånon Henry Larsen detained?
Q138362007,Salomon Bogomolno,P2632,place of detention,Q7393493,SS Donau,,A-Few-Weeks,29,1942-11-26,1942-11-30,Where was Salomon Bogomolno detained?
Q138607134,Torleif Tellefsen,P2632,place of detention,Q140458793,Kristiansand kretsfengsel,,A-Few-Weeks,29,1942-08-14,1942-08-15,Where was Torleif Tellefsen detained?
Q138377158,August Musæus,P2632,place of detention,Q140459616,Ålesund kretsfengsel,,A-Few-Weeks,15.5,1944-03-29,1944-04-27,What was the place of detention of August Musæus?
Q138372034,Peder Hegland,P2632,place of detention,Q140458793,Kristiansand kretsfengsel,,A-Few-Weeks,24.0,1943-11-03,1943-11-09,Where was Peder Hegland detained?
Q22908164,Moritz Kahan,P2632,place of detention,Q15204401,Bredtveit prison,,A-Few-Weeks,15.5,1942-10-26,1942-10-28,Where was Moritz Kahan detained?
Q139648908,Tormod Mælan,P2632,place of detention,Q2217762,Falstad concentration camp,,A-Few-Weeks,21.0,1942-08-24,1942-09-17,Where was Tormod Mælan detained?
Q138686837,Isak Kaplan,P2632,place of detention,Q15204401,Bredtveit prison,,A-Few-Weeks,15.5,1942-10-26,1942-10-28,Where was Isak Kaplan detained?
Q139658481,Odd Pedersen,P2632,place of detention,Q637411,Grini detention camp,,A-Few-Weeks,19.0,1943-07-19,1943-09-12,What is the place of detention of Odd Pedersen?
Q138368772,Harald Andreas Erikstad,P2632,place of detention,Q2217762,Falstad concentration camp,,A-Few-Weeks,19,1944-03-16,1944-09-20,Where was Harald Andreas Erikstad detained?
Q139630747,Olaf Martin Larsen,P2632,place of detention,Q140459457,"Akershus festning, Kriegswehrmachtsgefängnis",,A-Few-Weeks,25,1943-08-14,1943-08-21,Where was Olaf Martin Larsen detained?
Q139632397,Håkon Arnold Skeime,P2632,place of detention,Q140458874,Farsund hjelpefengsel,,A-Few-Weeks,23.0,1942-08-18,1942-08-18,Where was Håkon Arnold Skeime detained?
Q139635726,Aksel Strand Wahl,P2632,place of detention,Q140459310,Tromsdalen,,A-Few-Weeks,16.0,1944-03-09,1944-03-29,Where was Aksel Strand Wahl detained?
Q139643612,Peder Vassdal,P2632,place of detention,Q637411,Grini detention camp,,A-Few-Weeks,15.5,1945-02-21,1945-05-08,Where was Peder Vassdal detained?
Q139652728,Mikhail Dudura,P2632,place of detention,Q140459448,Trondheim kretsfengsel avd. A (Vollan),,A-Few-Weeks,21.0,1944-08-11,1944-09-11,Where was Mikhail Dudura detained?
Q138376002,Ståle Jørgensen,P2632,place of detention,Q140459448,Trondheim kretsfengsel avd. A (Vollan),,A-Few-Weeks,22.0,1945-03-08,1945-03-20,Where was Ståle Jørgensen detained?
Q88511008,2020 San Francisco Bay Area shelter-in-place order,P582,end time,,2020-05-31T00:00:00Z,,A-Few-Weeks,19.5,2020-04-29,,When did the 2020 San Francisco Bay Area shelter-in-place order end?
Q138359238,Isak Meyer Goldmann,P2632,place of detention,Q140458828,Hammerfest hjelpefengsel,,A-Few-Weeks,17,1942-10-16,1942-11-01,Where was Isak Meyer Goldmann detained?
Q139648811,Henry Thorvald Jensen,P2632,place of detention,Q140459442,Åkebergveien (Oslo kretsfengsel avd. B),,A-Few-Weeks,28.5,1943-01-05,1943-01-14,Where was Henry Thorvald Jensen detained?
Q139652542,Zygmunt Woźnica,P2632,place of detention,Q140458773,Værnes,,A-Few-Weeks,14.5,1944-03-31,1944-04-15,What was the place of detention of Zygmunt Woźnica?
Q138695562,Leo Løgård (Leventhal),P2632,place of detention,Q15204401,Bredtveit prison,,A-Few-Weeks,15.5,1942-10-26,1942-10-28,Where was Leo Løgård (Leventhal) detained?
Q138374768,Olaf Agnar Karlsen,P2632,place of detention,Q15204401,Bredtveit prison,,A-Few-Weeks,18.5,1943-06-02,1943-08-28,What is the place of detention of Olaf Agnar Karlsen?
Q118287645,Gisèle Giraudeau,P2632,place of detention,Q47531823,Fort de Romainville concentration camp,,A-Few-Weeks,23.5,1944-04-29,1944-05-13,Where was Gisèle Giraudeau detained?
Q139648894,Odd Jacob Palkin,P2632,place of detention,Q637411,Grini detention camp,,A-Few-Weeks,21.5,1942-06-24,1943-09-30,Where was Odd Jacob Palkin detained?
Q138362094,Torbjørn Bondø,P2632,place of detention,Q140459448,Trondheim kretsfengsel avd. A (Vollan),,A-Few-Weeks,20,1944-09-10,1944-09-29,Where was Torbjørn Bondø detained?
Q139655837,John Aslaksen Øyna,P2632,place of detention,Q140458793,Kristiansand kretsfengsel,,A-Few-Weeks,22.0,1944-12-18,1944-12-19,Where was John Aslaksen Øyna detained?
Q139647300,Odd Vestli Larsen,P2632,place of detention,Q140459442,Åkebergveien (Oslo kretsfengsel avd. B),,A-Few-Weeks,21.0,1942-04-24,1942-05-04,Where was Odd Vestli Larsen detained?
Q138361390,Ole Bergum,P2632,place of detention,Q140459448,Trondheim kretsfengsel avd. A (Vollan),,A-Few-Weeks,18.0,1942-06-19,1942-07-11,Where was Ole Bergum detained?
Q139638754,Lauritz Lied,P2632,place of detention,Q140459616,Ålesund kretsfengsel,,A-Few-Weeks,23.0,1945-02-02,1945-03-05,Where was Lauritz Lied detained?
Q138380716,Severin Løvenskiold,P2632,place of detention,Q637411,Grini detention camp,,A-Few-Weeks,18.0,1943-05-27,1943-12-20,Where was Severin Løvenskiold detained?
Q138378475,Jens Marius Madsen,P2632,place of detention,Q140458868,Bodø kretsfengsel,,A-Few-Weeks,15,1944-07-14,1944-07-27,Where was Jens Marius Madsen detained?
Q139658416,Alfred Tønnesen,P2632,place of detention,Q140459419,Bardufoss,,A-Few-Weeks,18,1944-09-07,1945-01-30,Where was Alfred Tønnesen detained?
Q139655958,Ingvald Peder Wilhelm Størkersen,P2632,place of detention,Q2217762,Falstad concentration camp,,A-Few-Weeks,17,1944-10-14,1945-01-19,Where was Ingvald Peder Wilhelm Størkersen detained?
Q138372860,Reidar Hæåk,P2632,place of detention,Q140458793,Kristiansand kretsfengsel,,A-Few-Weeks,25,1942-08-03,1942-08-06,Where was Reidar Hæåk detained?
Q139648941,Hilmar Sigurd Nylund,P2632,place of detention,Q637411,Grini detention camp,,A-Few-Weeks,23,1944-09-22,1944-12-30,What is the place of detention of Hilmar Sigurd Nylund?
Q138361037,Kjell Arthur Iversen Belsbye,P2632,place of detention,Q140459448,Trondheim kretsfengsel avd. A (Vollan),,A-Few-Weeks,20.0,1942-09-12,1942-09-17,Where was Kjell Arthur Iversen Belsbye detained?
Q139629771,John Kvande,P2632,place of detention,Q140459616,Ålesund kretsfengsel,,A-Few-Weeks,16,1943-01-29,1943-02-12,Where was John Kvande detained?
Q138369732,Alfred Frigstad,P2632,place of detention,Q140459419,Bardufoss,,A-Few-Weeks,14.5,1944-03-22,1945-02-20,Where was Alfred Frigstad detained?
Q139625308,Rudolf Otto Lindner,P2632,place of detention,Q637411,Grini detention camp,,A-Few-Weeks,21.0,1944-04-14,1944-04-19,What was the place of detention of Rudolf Otto Lindner?
Q138364975,Hans Johan Bjørnstad,P2632,place of detention,Q140459441,Møllergata 19,,A-Few-Weeks,19.5,1941-03-19,1941-04-23,Where was Hans Johan Bjørnstad detained?
Q139652531,Władysław Sankowski,P2632,place of detention,Q140459661,Midtsand,,A-Few-Weeks,22.5,1944-04-29,1944-05-29,Where was Władysław Sankowski detained?
Q138361650,Erik Normann Bjørnsborg,P2632,place of detention,Q140459725,Veidal,,A-Few-Weeks,14,1942-08-03,1942-09-12,Where was Erik Normann Bjørnsborg detained?
Q139635725,Martin Vølstad,P2632,place of detention,Q140458810,Tvååker (sentralskolen),,A-Few-Weeks,27.0,1945-05-10,1945-05-24,Where was Martin Vølstad detained?
Q138372828,Per Anker Hvam,P2632,place of detention,Q637411,Grini detention camp,,A-Few-Weeks,26.0,1942-06-02,1945-05-04,Where was Per Anker Hvam detained?
Q139653184,Knut Olav Nørve,P2632,place of detention,Q140459448,Trondheim kretsfengsel avd. A (Vollan),,A-Few-Weeks,21.0,1944-08-11,1944-09-09,Where was Knut Olav Nørve detained?
Q138362792,Bjørn Oscar Andersen,P2632,place of detention,Q15204401,Bredtveit prison,,A-Few-Weeks,29.0,1942-01-05,1942-01-12,What is the place of detention of Bjørn Oscar Andersen?
Q111256446,Democratische Partij Boxtel-Liempde,P1410,number of seats in assembly,,3.0,unitless,A-Few-Weeks,28,2010-04-07,2010-04-28,How many seats does Democratische Partij Boxtel-Liempde have in the assembly?
Q139641850,Herman Levin,P2632,place of detention,Q140459443,Berg,,A-Few-Weeks,14,1942-12-10,1945-05-02,Where was Herman Levin detained?
Q139643263,Finn Ravn,P2632,place of detention,Q45476681,Hamburg-Fuhlsbüttel concentration camp,,A-Few-Weeks,19,1941-11-05,,Where was Finn Ravn detained?
Q139652532,Zbigniew Salamanski,P2632,place of detention,Q140459448,Trondheim kretsfengsel avd. A (Vollan),,A-Few-Weeks,17,1944-03-25,1944-03-31,What was the place of detention of Zbigniew Salamanski?
Q139647351,Alfred Olsen Påljord,P2632,place of detention,Q140459448,Trondheim kretsfengsel avd. A (Vollan),,A-Few-Weeks,29,1944-05-18,1944-06-06,Where was Alfred Olsen Påljord detained?
Q138606898,Aron Scharff,P2632,place of detention,Q140459458,Auschwitz,,A-Few-Weeks,28,1942-12-01,1942-12-01,Where was Aron Scharff detained?
Q139644886,Eigil Maartmann,P2632,place of detention,Q637411,Grini detention camp,,A-Few-Weeks,27.0,1945-03-27,1945-05-08,Where was Eigil Maartmann detained?
Q138373596,Guttorm Olsen Ihme,P2632,place of detention,Q637411,Grini detention camp,,A-Few-Weeks,17.5,1944-01-28,1944-07-08,Where was Guttorm Olsen Ihme detained?
Q139636596,Klaus Skogmo,P2632,place of detention,Q140458810,Tvååker (sentralskolen),,A-Few-Weeks,22.0,1945-05-10,1945-05-22,What is the place of detention of Klaus Skogmo?
Q139652306,Verner Møller Mikkelsen,P2632,place of detention,Q140459448,Trondheim kretsfengsel avd. A (Vollan),,A-Few-Weeks,29.5,1942-08-17,1942-08-24,Where was Verner Møller Mikkelsen detained?
Q138377235,Alf Oskar Edvardsen Myhrer,P2632,place of detention,Q45476681,Hamburg-Fuhlsbüttel concentration camp,,A-Few-Weeks,27,1941-10-20,1944-05-17,Where was Alf Oskar Edvardsen Myhrer detained?
Q138380627,Håkon Mossing,P2632,place of detention,Q140459760,Åsen,,A-Few-Weeks,14.0,1944-08-28,1944-09-20,Where was Håkon Mossing detained?
Q12715689,Ingvald Raknem,P2632,place of detention,Q2217762,Falstad concentration camp,,A-Few-Weeks,19,1944-09-10,1944-09-20,Where was Ingvald Raknem detained?
Q139636846,Lars M. Seim,P2632,place of detention,Q140459506,Ulven,,A-Few-Weeks,18.0,1943-08-28,1943-09-10,Where was Lars M. Seim detained?
Q138697322,Benjamin Garmi,P2632,place of detention,Q7393493,SS Donau,,A-Few-Weeks,14.5,1942-11-26,1942-11-30,Where was Benjamin Garmi detained?
Q138380873,Andreas Ludvigsen,P2632,place of detention,Q637411,Grini detention camp,,A-Few-Weeks,24.0,1944-05-09,1944-06-17,Where was Andreas Ludvigsen detained?
Q138365890,Arne Thorbjørnsen Brekke,P2632,place of detention,Q140458846,Haugesund fengsel,,A-Few-Weeks,25.5,1941-05-31,1941-07-13,Where was Arne Thorbjørnsen Brekke detained?
Q138378636,Kaare Marthinsen,P2632,place of detention,Q140458793,Kristiansand kretsfengsel,,A-Few-Weeks,16.0,1942-08-28,1942-08-28,What was the place of detention of Kaare Marthinsen?
Q138372734,Egil Jan Hornnes,P2632,place of detention,Q140459441,Møllergata 19,,A-Few-Weeks,15.5,1942-03-23,1942-04-16,Where was Egil Jan Hornnes detained?
Q139637463,Ola E. Haveland,P2632,place of detention,Q154498,Sachsenhausen concentration camp,,A-Few-Weeks,21.0,1944-01-11,1944-01-22,What is the place of detention of Ola E. Haveland?
Q139643132,Torvald Tveiten,P2632,place of detention,Q140459403,Leirvik hjelpefengsel,,A-Few-Weeks,18,1943-11-03,1943-11-04,Where was Torvald Tveiten detained?
Q139629038,Reidar Haakonsen,P2632,place of detention,Q140458828,Hammerfest hjelpefengsel,,A-Few-Weeks,15.0,1944-10-14,1944-10-28,Where was Reidar Haakonsen detained?
Q138373837,Arvid Johan Jakobsen,P2632,place of detention,Q140459448,Trondheim kretsfengsel avd. A (Vollan),,A-Few-Weeks,16.0,1944-08-21,1944-08-22,Where was Arvid Johan Jakobsen detained?
Q139649255,Fredrik Hans Gulbrandsen,P2632,place of detention,Q637411,Grini detention camp,,A-Few-Weeks,22.5,1944-06-30,1944-08-10,Where was Fredrik Hans Gulbrandsen detained?
Q139656624,Lars Lie,P2632,place of detention,Q637411,Grini detention camp,,A-Few-Weeks,28.0,1943-12-03,1943-12-09,Where was Lars Lie detained?
Q138359482,Lars Kornelius Svanevik,P2632,place of detention,Q140459491,Bergen kretsfengsel,,A-Few-Weeks,27,1941-09-23,1941-10-20,Where was Lars Kornelius Svanevik detained?
Q139652566,Stanislaus Lurka,P2632,place of detention,Q637411,Grini detention camp,,A-Few-Weeks,18.5,1944-09-22,1945-05-08,Where was Stanislaus Lurka detained?
Q139654197,Leif Georg Pedersen,P2632,place of detention,Q140458793,Kristiansand kretsfengsel,,A-Few-Weeks,23.5,1942-08-02,1942-08-05,Where was Leif Georg Pedersen detained?
Q138364237,Harald Berg,P2632,place of detention,Q2217762,Falstad concentration camp,,A-Few-Weeks,21,1943-04-10,1943-05-04,Where was Harald Berg detained?
Q138692139,David Davidsen,P2632,place of detention,Q15204401,Bredtveit prison,,A-Few-Weeks,15.5,1942-10-26,1942-10-28,Where was David Davidsen detained?
Q139648609,Andreas Paulsen,P2632,place of detention,Q140458773,Værnes,,A-Few-Weeks,15,1944-09-22,1944-11-02,Where was Andreas Paulsen detained?
Q138607294,Benjamin Markus Leventhal,P2632,place of detention,Q7393493,SS Donau,,A-Few-Weeks,15.5,1942-11-26,1942-11-30,Where was Benjamin Markus Leventhal detained?
Q138377844,Arne Harry Hjalmar Nilsen,P2632,place of detention,Q140459146,Trondheim kretsfengsel avd. C (Kongens gate 85),,A-Few-Weeks,19.0,1945-01-27,1945-02-26,Where was Arne Harry Hjalmar Nilsen detained?
Q139640926,Johan Petter Berg Rosenlund,P2632,place of detention,Q637411,Grini detention camp,,A-Few-Weeks,21.5,1945-02-24,1945-05-08,Where was Johan Petter Berg Rosenlund detained?
Q139641189,Johannes Tømmervåg,P2632,place of detention,Q637411,Grini detention camp,,A-Few-Weeks,27.0,1945-02-24,1945-05-08,Where was Johannes Tømmervåg detained?
Q138380904,Åsmund Karl Johan Nilsen,P2632,place of detention,Q140459457,"Akershus festning, Kriegswehrmachtsgefängnis",,A-Few-Weeks,19.0,1945-02-27,,What is the place of detention of Åsmund Karl Johan Nilsen?
