pid,label,rows,expected,n_groups,n_valid,sec,status,A-Day,A-Few-Days,A-Week,A-Few-Weeks,A-Month,A-Few-Months,A-Year,A-Few-Years,Many-Years
P1181,numeric value,26,26,14,1,1.5,ok,0,0,0,0,0,0,0,0,1
P7604,supervised by,27,27,21,1,1.8,ok,0,0,0,0,0,0,0,1,0
P415,radio format,28,28,14,1,3.5,ok,0,0,0,0,0,0,0,1,0
P1408,licensed to broadcast to,28,28,16,1,3.4,ok,0,0,0,0,0,0,0,1,0
P2184,history of topic,29,29,14,1,4.6,ok,0,0,0,0,0,0,0,0,1
P208,executive body,31,31,18,1,1.5,ok,0,0,0,0,0,1,0,0,0
P6275,copyright representative,33,33,26,1,5.3,ok,0,0,0,0,0,0,0,0,1
P3970,channel number,35,35,25,1,1.2,ok,0,0,0,0,0,0,0,0,1
P1431,executive producer,37,37,20,1,2.0,ok,0,0,0,0,0,0,0,1,0
P2061,aspect ratio (W:H),36,36,22,1,3.1,ok,0,0,0,0,0,0,0,1,0
P2791,power consumed,38,38,33,1,1.2,ok,0,0,0,0,0,0,1,0,0
P110,illustrator,42,42,23,1,3.1,ok,0,0,0,0,0,0,0,1,0
P7169,substitute director/manager,43,43,17,1,1.0,ok,0,0,0,0,0,0,0,1,0
P3085,qualifies for event,44,44,19,1,1.7,ok,0,0,0,0,0,0,0,0,1
P4565,electoral district number,41,41,36,1,1.2,ok,0,0,0,0,0,0,0,1,0
P1346,winner,47,47,18,1,4.2,ok,0,0,0,0,0,0,0,0,1
P4224,category contains,49,49,40,1,8.1,ok,0,0,0,0,0,0,0,0,1
P3091,mount,50,50,26,1,1.2,ok,0,0,0,0,0,0,0,1,0
P7374,educational stage,53,53,50,1,1.6,ok,0,0,0,0,0,0,0,1,0
P706,located in/on physical feature,55,55,43,1,6.2,ok,0,0,0,0,0,0,0,0,1
P289,vessel class,60,60,46,1,2.1,ok,0,0,0,0,0,0,0,1,0
P163,flag,58,58,39,1,2.2,ok,0,0,0,0,0,0,0,0,1
P144,based on,64,64,45,1,4.3,ok,0,0,0,0,0,0,0,1,0
P460,said to be the same as,66,66,50,1,7.6,ok,0,0,0,0,0,0,0,1,0
P1101,floors above ground,70,70,46,1,2.7,ok,0,0,0,0,0,0,0,1,0
P1444,destination point,71,71,66,1,2.4,ok,0,0,0,0,0,0,1,0,0
P417,patron saint,75,75,60,1,2.9,ok,0,0,0,0,0,0,0,0,1
P2828,corporate officer,95,95,59,1,1.1,ok,0,0,0,0,0,0,0,0,1
P12484,competition judge,97,97,10,1,1.1,ok,0,0,0,0,0,0,0,0,1
P3729,next lower rank,93,93,73,1,1.8,ok,0,0,0,0,0,0,0,0,1
P9597,type of lens,100,100,80,1,1.3,ok,0,0,0,0,0,0,0,0,1
P7888,merged into,110,110,107,1,2.2,ok,0,0,0,0,0,0,0,1,0
P287,designed by,115,115,92,1,3.8,ok,0,0,0,0,0,0,0,0,1
P37,official language,118,118,64,1,2.8,ok,0,0,0,0,0,0,0,0,1
P8289,parish church(es),123,123,57,1,1.9,ok,0,0,0,0,0,0,0,1,0
P1343,described by source,129,129,93,1,12.1,ok,0,0,0,0,0,0,0,1,0
P462,color,128,128,76,1,9.0,ok,0,0,0,0,0,0,0,1,0
P12439,civil rank,134,134,90,1,1.7,ok,0,0,0,0,0,0,0,1,0
P413,position played on team / speciality,153,153,146,1,15.9,ok,0,0,0,0,0,0,0,0,1
P547,commemorates,165,165,98,1,3.8,ok,0,0,0,0,0,0,0,0,1
P199,organizational division,211,207,95,1,1.5,ok,0,0,0,0,0,0,0,1,0
P3448,stepparent,218,218,167,1,1.6,ok,0,0,0,0,0,0,0,0,1
P930,type of electrification,268,268,226,1,1.9,ok,0,0,0,0,0,0,0,0,1
P795,located on linear feature,325,325,278,1,8.5,ok,0,0,0,0,0,0,0,0,1
P1056,product or material produced,399,399,211,1,5.8,ok,0,0,0,0,0,0,0,1,0
P516,powered by,408,408,216,1,3.2,ok,0,0,0,0,0,0,0,1,0
P921,main subject,365,365,295,1,14.2,ok,0,0,0,0,0,0,1,0,0
P1103,number of platform tracks,334,334,305,1,4.1,ok,0,0,0,0,0,0,0,1,0
P2929,lighthouse range,564,564,251,1,2.1,ok,0,0,0,0,0,0,0,0,1
P10611,has certification,640,640,615,1,1.9,ok,0,0,0,0,0,0,0,1,0
P296,station code,609,609,360,1,3.8,ok,0,0,0,0,0,0,0,1,0
P1050,medical condition,1428,1428,1351,1,8.1,ok,0,0,0,0,0,0,0,1,0
P414,stock exchange,9702,9702,9235,1,5.9,ok,0,0,0,0,0,0,1,0,0
P735,given name,605,605,461,1,13.9,ok,0,0,0,0,0,0,0,0,1
P2936,language used,26,26,14,1,6.8,ok,0,0,0,0,0,0,0,0,1
P6424,affiliation string,45,45,38,1,2.4,ok,0,0,0,0,0,0,0,0,1
P215,spectral class,0,0,0,0,13.7,ok,0,0,0,0,0,0,0,0,0
P233,canonical SMILES,0,0,0,0,11.9,ok,0,0,0,0,0,0,0,0,0
P469,lake on watercourse,0,0,0,0,2.3,ok,0,0,0,0,0,0,0,0,0
P490,provisional designation,0,0,0,0,3.4,ok,0,0,0,0,0,0,0,0,0
P684,ortholog,0,0,0,0,7.4,ok,0,0,0,0,0,0,0,0,0
P703,found in taxon,0,0,0,0,7.8,ok,0,0,0,0,0,0,0,0,0
P847,United States Navy aircraft designation,0,0,0,0,1.2,ok,0,0,0,0,0,0,0,0,0
P898,IPA transcription,0,0,0,0,1.8,ok,0,0,0,0,0,0,0,0,0
P1032,digital rights management system,0,0,0,0,1.3,ok,0,0,0,0,0,0,0,0,0
P1090,redshift,0,0,0,0,7.0,ok,0,0,0,0,0,0,0,0,0
P1195,file extension,0,0,0,0,1.5,ok,0,0,0,0,0,0,0,0,0
P1358,points for,0,0,0,0,1.2,ok,0,0,0,0,0,0,0,0,0
P1534,end cause,0,0,0,0,1.1,ok,0,0,0,0,0,0,0,0,0
P1833,number of registered users/contributors,0,0,0,0,1.1,ok,0,0,0,0,0,0,0,0,0
P2361,online service,0,0,0,0,1.0,ok,0,0,0,0,0,0,0,0,0
P2440,transliteration or transcription,0,0,0,0,1.9,ok,0,0,0,0,0,0,0,0,0
P2560,GPU,0,0,0,0,1.1,ok,0,0,0,0,0,0,0,0,0
P2669,discontinuation date,0,0,0,0,1.4,ok,0,0,0,0,0,0,0,0,0
P2681,is recto of,0,0,0,0,1.2,ok,0,0,0,0,0,0,0,0,0
P3041,luminous intensity,0,0,0,0,1.3,ok,0,0,0,0,0,0,0,0,0
P3067,GS1 country code,0,0,0,0,1.0,ok,0,0,0,0,0,0,0,0,0
P3303,third-party formatter URL,0,0,0,0,1.0,ok,0,0,0,0,0,0,0,0,0
P4241,refine date,0,0,0,0,1.0,ok,0,0,0,0,0,0,0,0,0
P4506,Formal Public Identifier,0,0,0,0,1.1,ok,0,0,0,0,0,0,0,0,0
P4552,mountain range,0,0,0,0,3.8,ok,0,0,0,0,0,0,0,0,0
P4602,date of burial or cremation,0,0,0,0,2.1,ok,0,0,0,0,0,0,0,0,0
P4810,reads environment variable,0,0,0,0,1.0,ok,0,0,0,0,0,0,0,0,0
P4825,deductions (in figure skating),0,0,0,0,1.0,ok,0,0,0,0,0,0,0,0,0
P4934,calculated from,0,0,0,0,1.2,ok,0,0,0,0,0,0,0,0,0
P5204,commercialization date,0,0,0,0,1.4,ok,0,0,0,0,0,0,0,0,0
P5279,hyphenation,0,0,0,0,1.1,ok,0,0,0,0,0,0,0,0,0
P5422,has pattern,0,0,0,0,1.1,ok,0,0,0,0,0,0,0,0,0
P6001,applies to people,0,0,0,0,1.1,ok,0,0,0,0,0,0,0,0,0
P6112,category for members of a team,0,0,0,0,2.5,ok,0,0,0,0,0,0,0,0,0
P6793,WMI code,0,0,0,0,1.1,ok,0,0,0,0,0,0,0,0,0
P6879,effective temperature,0,0,0,0,2.6,ok,0,0,0,0,0,0,0,0,0
P7376,worn by,0,0,0,0,1.1,ok,0,0,0,0,0,0,0,0,0
P7588,effective date,0,0,0,0,1.6,ok,0,0,0,0,0,0,0,0,0
P9998,excitation energy,0,0,0,0,1.1,ok,0,0,0,0,0,0,0,0,0
P10648,podium finishes,0,0,0,0,1.2,ok,0,0,0,0,0,0,0,0,0
P10680,franchisor,0,0,0,0,1.0,ok,0,0,0,0,0,0,0,0,0
P10786,date of incorporation,0,0,0,0,1.3,ok,0,0,0,0,0,0,0,0,0
P11747,holds diplomatic passport of,0,0,0,0,1.1,ok,0,0,0,0,0,0,0,0,0
P12020,state of transmission,0,0,0,0,1.4,ok,0,0,0,0,0,0,0,0,0
P12476,filial church,0,0,0,0,1.1,ok,0,0,0,0,0,0,0,0,0
P129,physically interacts with,1,1,1,0,1.4,ok,0,0,0,0,0,0,0,0,0
P183,endemic to,1,1,1,0,3.4,ok,0,0,0,0,0,0,0,0,0
P205,basin country,1,1,1,0,2.5,ok,0,0,0,0,0,0,0,0,0
P433,issue,1,1,1,0,10.8,ok,0,0,0,0,0,0,0,0,0
P479,input device,1,1,1,0,2.6,ok,0,0,0,0,0,0,0,0,0
P548,version type,1,1,1,0,1.2,ok,0,0,0,0,0,0,0,0,0
P629,"version, edition or translation of",1,1,1,0,5.3,ok,0,0,0,0,0,0,0,0,0
P658,tracklist,1,1,1,0,3.2,ok,0,0,0,0,0,0,0,0,0
P739,ammunition,1,1,1,0,1.8,ok,0,0,0,0,0,0,0,0,0
P746,date of disappearance,1,1,1,0,1.4,ok,0,0,0,0,0,0,0,0,0
P826,tonality,1,1,1,0,1.8,ok,0,0,0,0,0,0,0,0,0
P910,topic's main category,1,1,1,0,9.5,ok,0,0,0,0,0,0,0,0,0
P913,notation,1,1,1,0,1.5,ok,0,0,0,0,0,0,0,0,0
P935,Commons gallery,1,1,1,0,5.4,ok,0,0,0,0,0,0,0,0,0
P1012,including,1,1,1,0,1.2,ok,0,0,0,0,0,0,0,0,0
P1026,academic thesis,1,1,1,0,2.6,ok,0,0,0,0,0,0,0,0,0
P1040,film editor,1,1,1,0,5.2,ok,0,0,0,0,0,0,0,0,0
P1049,worshipped by,1,1,1,0,1.5,ok,0,0,0,0,0,0,0,0,0
P1196,manner of death,1,1,1,0,7.2,ok,0,0,0,0,0,0,0,0,0
P1198,unemployment rate,1,1,1,0,1.3,ok,0,0,0,0,0,0,0,0,0
P1355,number of wins,1,1,1,0,1.7,ok,0,0,0,0,0,0,0,0,0
P1446,number of missing,1,1,1,0,1.2,ok,0,0,0,0,0,0,0,0,0
P1455,list of works,1,1,1,0,1.4,ok,0,0,0,0,0,0,0,0,0
P1465,category for people who died here,1,1,1,0,2.9,ok,0,0,0,0,0,0,0,0,0
P1471,reporting mark,1,1,1,0,1.4,ok,0,0,0,0,0,0,0,0,0
P1589,lowest point,1,1,1,0,1.2,ok,0,0,0,0,0,0,0,0,0
P1590,number of casualties,1,1,1,0,1.2,ok,0,0,0,0,0,0,0,0,0
P1598,consecrator,1,1,1,0,2.8,ok,0,0,0,0,0,0,0,0,0
P1612,Commons Institution page,1,1,1,0,1.8,ok,0,0,0,0,0,0,0,0,0
P1642,acquisition transaction,1,1,1,0,1.1,ok,0,0,0,0,0,0,0,0,0
P1654,wing configuration,1,1,1,0,1.4,ok,0,0,0,0,0,0,0,0,0
P1660,has index case,1,1,1,0,1.1,ok,0,0,0,0,0,0,0,0,0
P1753,list related to category,1,1,1,0,3.0,ok,0,0,0,0,0,0,0,0,0
P1775,follower of,1,1,1,0,1.1,ok,0,0,0,0,0,0,0,0,0
P1809,choreographer,1,1,1,0,1.3,ok,0,0,0,0,0,0,0,0,0
P1945,street key,1,1,1,0,1.6,ok,0,0,0,0,0,0,0,0,0
P2133,total debt,1,1,1,0,1.2,ok,0,0,0,0,0,0,0,0,0
P2140,foreign direct investment net outflow,1,1,1,0,1.1,ok,0,0,0,0,0,0,0,0,0
P2141,foreign direct investment net inflow,1,1,1,0,1.1,ok,0,0,0,0,0,0,0,0,0
P2210,relative to,1,1,1,0,1.1,ok,0,0,0,0,0,0,0,0,0
P2259,mobile network code,1,1,1,0,1.3,ok,0,0,0,0,0,0,0,0,0
P2308,class,1,1,1,0,1.1,ok,0,0,0,0,0,0,0,0,0
P2313,minimum value,1,1,1,0,1.3,ok,0,0,0,0,0,0,0,0,0
P2324,quantity buried,1,1,1,0,1.5,ok,0,0,0,0,0,0,0,0,0
P2341,indigenous to,1,1,1,0,3.6,ok,0,0,0,0,0,0,0,0,0
P2429,expected completeness,1,1,1,0,1.0,ok,0,0,0,0,0,0,0,0,0
P2567,amended by,1,1,1,0,1.7,ok,0,0,0,0,0,0,0,0,0
P2568,repealed by,1,1,1,0,1.4,ok,0,0,0,0,0,0,0,0,0
P2737,union of,1,1,1,0,1.3,ok,0,0,0,0,0,0,0,0,0
P2831,totem,1,1,1,0,1.1,ok,0,0,0,0,0,0,0,0,0
P2872,visitor center,1,1,1,0,1.2,ok,0,0,0,0,0,0,0,0,0
P3005,valid in place,1,1,1,0,1.1,ok,0,0,0,0,0,0,0,0,0
P3025,open days,1,1,1,0,1.7,ok,0,0,0,0,0,0,0,0,0
P3036,precipitation height,1,1,1,0,1.1,ok,0,0,0,0,0,0,0,0,0
P3081,damaged,1,1,1,0,1.1,ok,0,0,0,0,0,0,0,0,0
P3148,repeals,1,1,1,0,1.4,ok,0,0,0,0,0,0,0,0,0
P3173,offers view on,1,1,1,0,3.6,ok,0,0,0,0,0,0,0,0,0
P3279,statistical leader,1,1,1,0,2.4,ok,0,0,0,0,0,0,0,0,0
P3295,code,1,1,1,0,1.6,ok,0,0,0,0,0,0,0,0,0
P3306,ICAA rating,1,1,1,0,2.1,ok,0,0,0,0,0,0,0,0,0
P3530,par,1,1,1,0,1.1,ok,0,0,0,0,0,0,0,0,0
P3823,Ethnologue language status,1,1,1,0,1.8,ok,0,0,0,0,0,0,0,0,0
P3831,object of statement has role,1,1,1,0,1.1,ok,0,0,0,0,0,0,0,0,0
P3876,category for alumni of educational institution,1,1,1,0,2.8,ok,0,0,0,0,0,0,0,0,0
P3921,Wikidata SPARQL query equivalent,1,1,1,0,2.1,ok,0,0,0,0,0,0,0,0,0
P3934,face value,1,1,1,0,1.4,ok,0,0,0,0,0,0,0,0,0
P3967,final event,1,1,1,0,1.4,ok,0,0,0,0,0,0,0,0,0
P4183,angle from vertical,1,1,1,0,1.8,ok,0,0,0,0,0,0,0,0,0
P4675,appears in the form of,1,1,1,0,1.2,ok,0,0,0,0,0,0,0,0,0
P4743,animal breed,1,1,1,0,2.3,ok,0,0,0,0,0,0,0,0,0
P4745,is proceedings from,1,1,1,0,1.3,ok,0,0,0,0,0,0,0,0,0
P4805,make-up artist,1,1,1,0,1.4,ok,0,0,0,0,0,0,0,0,0
P4837,has command line option,1,1,1,0,1.1,ok,0,0,0,0,0,0,0,0,0
P5004,in opposition to,0,0,0,0,1.3,ok,0,0,0,0,0,0,0,0,0
P5021,assessment,1,1,1,0,3.7,ok,0,0,0,0,0,0,0,0,0
P5027,number of representations,1,1,1,0,1.6,ok,0,0,0,0,0,0,0,0,0
P5051,towards,1,1,1,0,1.1,ok,0,0,0,0,0,0,0,0,0
P5059,modified version of,1,1,1,0,1.4,ok,0,0,0,0,0,0,0,0,0
P5072,presented in,1,1,1,0,1.6,ok,0,0,0,0,0,0,0,0,0
P5135,greater than,1,1,1,0,1.1,ok,0,0,0,0,0,0,0,0,0
P5150,IGAC rating,1,1,1,0,1.5,ok,0,0,0,0,0,0,0,0,0
P5328,revival or touring version of,1,1,1,0,1.0,ok,0,0,0,0,0,0,0,0,0
P5982,annual number of weddings,1,1,1,0,1.2,ok,0,0,0,0,0,0,0,0,0
P6104,maintained by WikiProject,1,1,1,0,11.2,ok,0,0,0,0,0,0,0,0,0
P6193,ratified by,1,1,1,0,1.1,ok,0,0,0,0,0,0,0,0,0
P6365,member category,1,1,1,0,1.7,ok,0,0,0,0,0,0,0,0,0
P6439,has lyrics,1,1,1,0,1.2,ok,0,0,0,0,0,0,0,0,0
P6452,CBFC rating,1,1,1,0,1.1,ok,0,0,0,0,0,0,0,0,0
P6569,taxon especially protected in area,1,1,1,0,1.2,ok,0,0,0,0,0,0,0,0,0
P6639,capacity factor,1,1,1,0,1.0,ok,0,0,0,0,0,0,0,0,0
P6684,first attested from,1,1,1,0,1.0,ok,0,0,0,0,0,0,0,0,0
P6803,taxon found at location,1,1,1,0,1.1,ok,0,0,0,0,0,0,0,0,0
P6949,announcement date,1,1,1,0,1.5,ok,0,0,0,0,0,0,0,0,0
P7078,typing discipline,1,1,1,0,1.2,ok,0,0,0,0,0,0,0,0,0
P7152,copyright exemption,1,1,1,0,1.2,ok,0,0,0,0,0,0,0,0,0
P7469,orientation,1,1,1,0,1.2,ok,0,0,0,0,0,0,0,0,0
P7470,URN formatter,1,1,1,0,1.0,ok,0,0,0,0,0,0,0,0,0
P8107,bus,1,1,1,0,1.1,ok,0,0,0,0,0,0,0,0,0
P8453,public transport stop,1,1,1,0,1.4,ok,0,0,0,0,0,0,0,0,0
P8738,permits,1,1,1,0,1.1,ok,0,0,0,0,0,0,0,0,0
P8786,dedicated heritage entity,1,1,1,0,1.2,ok,0,0,0,0,0,0,0,0,0
P8791,digitised by,1,1,1,0,1.1,ok,0,0,0,0,0,0,0,0,0
P9184,number of hits,1,1,1,0,1.1,ok,0,0,0,0,0,0,0,0,0
P9237,reissue of,1,1,1,0,1.2,ok,0,0,0,0,0,0,0,0,0
P9652,personality trait of fictional character,0,0,0,0,1.4,ok,0,0,0,0,0,0,0,0,0
P9883,created for,1,1,1,0,1.1,ok,0,0,0,0,0,0,0,0,0
P9897,App Store age rating,1,1,1,0,1.3,ok,0,0,0,0,0,0,0,0,0
P9929,madhhab,1,1,1,0,1.2,ok,0,0,0,0,0,0,0,0,0
P10129,protective marking,1,1,1,0,1.0,ok,0,0,0,0,0,0,0,0,0
P10408,created during,1,1,1,0,1.0,ok,0,0,0,0,0,0,0,0,0
P10588,academic calendar type,1,1,1,0,1.4,ok,0,0,0,0,0,0,0,0,0
P10640,pole positions,1,1,1,0,1.4,ok,0,0,0,0,0,0,0,0,0
P10642,place of disappearance,1,1,1,0,1.0,ok,0,0,0,0,0,0,0,0,0
P10664,featured track(s),1,1,1,0,1.1,ok,0,0,0,0,0,0,0,0,0
P10836,inker,1,1,1,0,1.1,ok,0,0,0,0,0,0,0,0,0
P11108,recorded participant,1,1,1,0,1.4,ok,0,0,0,0,0,0,0,0,0
P11547,Happy Planet Index score,1,1,1,0,1.2,ok,0,0,0,0,0,0,0,0,0
P11590,stamp perforation,1,1,1,0,1.1,ok,0,0,0,0,0,0,0,0,0
P11738,"handled, mitigated, or managed by",1,1,1,0,1.1,ok,0,0,0,0,0,0,0,0,0
P12456,phonographic copyright,1,1,1,0,1.1,ok,0,0,0,0,0,0,0,0,0
P12764,replaced synonym of,1,1,1,0,1.3,ok,0,0,0,0,0,0,0,0,0
P13269,directs readers to,1,1,1,0,1.2,ok,0,0,0,0,0,0,0,0,0
P13308,software used for creation,0,0,0,0,1.1,ok,0,0,0,0,0,0,0,0,0
P13459,research project that contributed to this data set,1,1,1,0,1.4,ok,0,0,0,0,0,0,0,0,0
P13497,interior designer,1,1,1,0,1.0,ok,0,0,0,0,0,0,0,0,0
P13564,third-gender population,1,1,1,0,1.0,ok,0,0,0,0,0,0,0,0,0
P66,ancestral home,2,2,2,0,1.8,ok,0,0,0,0,0,0,0,0,0
P274,chemical formula,2,2,2,0,8.0,ok,0,0,0,0,0,0,0,0,0
P461,opposite of,2,2,2,0,3.5,ok,0,0,0,0,0,0,0,0,0
P478,volume,2,2,1,0,9.3,ok,0,0,0,0,0,0,0,0,0
P489,currency sign,2,2,2,0,1.1,ok,0,0,0,0,0,0,0,0,0
P509,cause of death,2,2,2,0,5.9,ok,0,0,0,0,0,0,0,0,0
P560,direction,2,2,2,0,1.0,ok,0,0,0,0,0,0,0,0,0
P823,speaker,2,2,2,0,1.4,ok,0,0,0,0,0,0,0,0,0
P941,inspired by,2,2,2,0,1.9,ok,0,0,0,0,0,0,0,0,0
P943,programmer,2,2,1,0,1.2,ok,0,0,0,0,0,0,0,0,0
P965,burial plot reference,1,1,1,0,1.2,ok,0,0,0,0,0,0,0,0,0
P974,tributary,2,2,2,0,3.9,ok,0,0,0,0,0,0,0,0,0
P1073,writable file format,2,2,1,0,1.5,ok,0,0,0,0,0,0,0,0,0
P1087,Elo rating,2,2,1,0,7.9,ok,0,0,0,0,0,0,0,0,0
P1125,Gini coefficient,2,2,1,0,1.2,ok,0,0,0,0,0,0,0,0,0
P1139,floors below ground,2,2,2,0,1.4,ok,0,0,0,0,0,0,0,0,0
P1163,media type,2,2,2,0,1.6,ok,0,0,0,0,0,0,0,0,0
P1339,number of injured,2,2,1,0,2.2,ok,0,0,0,0,0,0,0,0,0
P1345,number of victims of killer,2,2,2,0,1.2,ok,0,0,0,0,0,0,0,0,0
P1434,takes place in fictional universe,2,2,2,0,2.7,ok,0,0,0,0,0,0,0,0,0
P1436,collection or exhibition size,2,2,1,0,1.7,ok,0,0,0,0,0,0,0,0,0
P1478,has immediate cause,2,2,2,0,1.2,ok,0,0,0,0,0,0,0,0,0
P1479,has contributing factor,2,2,2,0,1.2,ok,0,0,0,0,0,0,0,0,0
P1536,immediate cause of,2,2,2,0,1.1,ok,0,0,0,0,0,0,0,0,0
P1591,defendant,2,2,1,0,1.4,ok,0,0,0,0,0,0,0,0,0
P1611,NATO code for grade,2,2,2,0,1.2,ok,0,0,0,0,0,0,0,0,0
P1619,date of official opening,0,,,0,,fail,0,0,0,0,0,0,0,0,0
P1625,has melody,0,,,0,,fail,0,0,0,0,0,0,0,0,0
P1656,unveiled by,0,,,0,,fail,0,0,0,0,0,0,0,0,0
P1657,MPA film rating,0,,,0,,fail,0,0,0,0,0,0,0,0,0
P2012,cuisine,0,,,0,,fail,0,0,0,0,0,0,0,0,0
P2233,semi-major axis of an orbit,0,,,0,,fail,0,0,0,0,0,0,0,0,0
P2319,elector,0,,,0,,fail,0,0,0,0,0,0,0,0,0
P2358,praenomen,0,,,0,,fail,0,0,0,0,0,0,0,0,0
P2370,conversion to SI unit,0,,,0,,fail,0,0,0,0,0,0,0,0,0
P2554,production designer,0,,,0,,fail,0,0,0,0,0,0,0,0,0
P2701,file format,0,,,0,,fail,0,0,0,0,0,0,0,0,0
P2793,clearance,0,,,0,,fail,0,0,0,0,0,0,0,0,0
P2834,individual tax rate,0,,,0,,fail,0,0,0,0,0,0,0,0,0
P2881,promoted,0,,,0,,fail,0,0,0,0,0,0,0,0,0
P3026,closed on,0,,,0,,fail,0,0,0,0,0,0,0,0,0
P3274,content deliverer,0,,,0,,fail,0,0,0,0,0,0,0,0,0
P3349,designed to carry,0,,,0,,fail,0,0,0,0,0,0,0,0,0
P3415,start period,0,,,0,,fail,0,0,0,0,0,0,0,0,0
P3450,sports season of league or competition,0,,,0,,fail,0,0,0,0,0,0,0,0,0
P3493,legal status (medicine),0,,,0,,fail,0,0,0,0,0,0,0,0,0
P3575,data size,0,,,0,,fail,0,0,0,0,0,0,0,0,0
P3833,diaspora,0,,,0,,fail,0,0,0,0,0,0,0,0,0
P4151,game mechanics,0,,,0,,fail,0,0,0,0,0,0,0,0,0
P4292,possessed by spirit,0,,,0,,fail,0,0,0,0,0,0,0,0,0
P4448,cash back,0,,,0,,fail,0,0,0,0,0,0,0,0,0
P4661,reservoir created,2,2,1,0,1.3,ok,0,0,0,0,0,0,0,0,0
P4777,has boundary,2,2,2,0,1.4,ok,0,0,0,0,0,0,0,0,0
P5141,coastline,2,2,2,0,1.1,ok,0,0,0,0,0,0,0,0,0
P5412,romanization of Belarusian (2007 system),2,2,2,0,1.4,ok,0,0,0,0,0,0,0,0,0
P5582,number of arrests,2,2,1,0,1.1,ok,0,0,0,0,0,0,0,0,0
P5623,type of water supply,2,2,1,0,1.1,ok,0,0,0,0,0,0,0,0,0
P5901,official number of town quarter,2,2,2,0,1.1,ok,0,0,0,0,0,0,0,0,0
P5970,Medierådet rating,2,2,2,0,1.9,ok,0,0,0,0,0,0,0,0,0
P6546,penalty minutes in career,2,2,2,0,1.6,ok,0,0,0,0,0,0,0,0,0
P6711,data transfer speed,2,2,1,0,1.0,ok,0,0,0,0,0,0,0,0,0
P6886,writing language,2,2,2,0,6.0,ok,0,0,0,0,0,0,0,0,0
P7047,enemy,2,2,2,0,1.7,ok,0,0,0,0,0,0,0,0,0
P7643,covered period,2,2,1,0,1.1,ok,0,0,0,0,0,0,0,0,0
P8500,Vietnamese middle name,1,1,1,0,1.2,ok,0,0,0,0,0,0,0,0,0
P8956,compatible with,2,2,1,0,1.5,ok,0,0,0,0,0,0,0,0,0
P8966,URL match pattern,2,2,2,0,1.0,ok,0,0,0,0,0,0,0,0,0
P9139,first family name in Portuguese name,2,2,1,0,1.8,ok,0,0,0,0,0,0,0,0,0
P9419,personal library at,2,2,2,0,1.1,ok,0,0,0,0,0,0,0,0,0
P10280,category for honorary citizens of entity,2,2,1,0,1.4,ok,0,0,0,0,0,0,0,0,0
P10610,number of teachers,2,2,1,0,1.2,ok,0,0,0,0,0,0,0,0,0
P10636,number of conferences,1,1,1,0,1.1,ok,0,0,0,0,0,0,0,0,0
P12011,tribe,2,2,1,0,1.1,ok,0,0,0,0,0,0,0,0,0
P13637,matricule number,2,2,1,0,1.0,ok,0,0,0,0,0,0,0,0,0
P13638,settlement classification,2,2,2,0,1.4,ok,0,0,0,0,0,0,0,0,0
P13789,has wireless capabilities,2,2,1,0,1.0,ok,0,0,0,0,0,0,0,0,0
P14408,contains cadastral area,2,2,2,0,1.1,ok,0,0,0,0,0,0,0,0,0
P240,FAA airport code,3,3,3,0,1.3,ok,0,0,0,0,0,0,0,0,0
P459,determination method or standard,3,3,2,0,1.1,ok,0,0,0,0,0,0,0,0,0
P470,Eight Banner register,3,3,2,0,1.2,ok,0,0,0,0,0,0,0,0,0
P1018,language regulatory body,3,3,2,0,1.1,ok,0,0,0,0,0,0,0,0,0
P1031,legal citation of this text,3,3,2,0,2.1,ok,0,0,0,0,0,0,0,0,0
P1099,number of masts,3,3,2,0,1.1,ok,0,0,0,0,0,0,0,0,0
P1191,date of first performance,3,3,3,0,2.7,ok,0,0,0,0,0,0,0,0,0
P1588,Statistics Indonesia area code,3,3,3,0,1.9,ok,0,0,0,0,0,0,0,0,0
P1603,number of cases,3,3,3,0,1.1,ok,0,0,0,0,0,0,0,0,0
P1706,together with,3,3,3,0,1.0,ok,0,0,0,0,0,0,0,0,0
P1793,format as a regular expression,3,3,2,0,1.1,ok,0,0,0,0,0,0,0,0,0
P1880,measurement scale,3,3,2,0,1.2,ok,0,0,0,0,0,0,0,0,0
P2031,start of work period,3,3,3,0,7.8,ok,0,0,0,0,0,0,0,0,0
P2058,depositary,3,3,3,0,1.0,ok,0,0,0,0,0,0,0,0,0
P2258,mobile country code,3,3,3,0,1.1,ok,0,0,0,0,0,0,0,0,0
P2354,has list,3,3,3,0,3.3,ok,0,0,0,0,0,0,0,0,0
P2359,nomen gentilicium,2,2,1,0,1.8,ok,0,0,0,0,0,0,0,0,0
P2512,has spin-off,3,3,2,0,1.2,ok,0,0,0,0,0,0,0,0,0
P2557,stroke,3,3,1,0,1.2,ok,0,0,0,0,0,0,0,0,0
P2579,studied by,3,3,3,0,2.4,ok,0,0,0,0,0,0,0,0,0
P2595,maximum gradient,3,3,2,0,1.3,ok,0,0,0,0,0,0,0,0,0
P2598,serial number,3,3,2,0,1.4,ok,0,0,0,0,0,0,0,0,0
P2684,Kijkwijzer rating,3,3,2,0,2.4,ok,0,0,0,0,0,0,0,0,0
P2787,longest span,3,3,3,0,1.4,ok,0,0,0,0,0,0,0,0,0
