pid,label,n_stmt,n_groups,n_valid,A-Day,A-Few-Days,A-Week,A-Few-Weeks,A-Month,A-Few-Months,A-Year,A-Few-Years,Many-Years
P2133,total debt,1,1,0,0,0,0,0,0,0,0,0,0
P2140,foreign direct investment net outflow,1,1,0,0,0,0,0,0,0,0,0,0
P2141,foreign direct investment net inflow,1,1,0,0,0,0,0,0,0,0,0,0
P2210,relative to,1,1,0,0,0,0,0,0,0,0,0,0
P2259,mobile network code,1,1,0,0,0,0,0,0,0,0,0,0
P2308,class,1,1,0,0,0,0,0,0,0,0,0,0
P2313,minimum value,1,1,0,0,0,0,0,0,0,0,0,0
P2324,quantity buried,1,1,0,0,0,0,0,0,0,0,0,0
P2341,indigenous to,1,1,0,0,0,0,0,0,0,0,0,0
P2429,expected completeness,1,1,0,0,0,0,0,0,0,0,0,0
P2567,amended by,1,1,0,0,0,0,0,0,0,0,0,0
P2568,repealed by,1,1,0,0,0,0,0,0,0,0,0,0
P2737,union of,1,1,0,0,0,0,0,0,0,0,0,0
P2831,totem,1,1,0,0,0,0,0,0,0,0,0,0
P2872,visitor center,1,1,0,0,0,0,0,0,0,0,0,0
P3005,valid in place,1,1,0,0,0,0,0,0,0,0,0,0
P3025,open days,1,1,0,0,0,0,0,0,0,0,0,0
P3036,precipitation height,1,1,0,0,0,0,0,0,0,0,0,0
P3081,damaged,1,1,0,0,0,0,0,0,0,0,0,0
P3148,repeals,1,1,0,0,0,0,0,0,0,0,0,0
P3173,offers view on,1,1,0,0,0,0,0,0,0,0,0,0
P3279,statistical leader,1,1,0,0,0,0,0,0,0,0,0,0
P3295,code,1,1,0,0,0,0,0,0,0,0,0,0
P3306,ICAA rating,1,1,0,0,0,0,0,0,0,0,0,0
P3530,par,1,1,0,0,0,0,0,0,0,0,0,0
P3823,Ethnologue language status,1,1,0,0,0,0,0,0,0,0,0,0
P3831,object of statement has role,1,1,0,0,0,0,0,0,0,0,0,0
P3876,category for alumni of educational institution,1,1,0,0,0,0,0,0,0,0,0,0
P3921,Wikidata SPARQL query equivalent,1,1,0,0,0,0,0,0,0,0,0,0
P3934,face value,1,1,0,0,0,0,0,0,0,0,0,0
P3967,final event,1,1,0,0,0,0,0,0,0,0,0,0
P4183,angle from vertical,1,1,0,0,0,0,0,0,0,0,0,0
P4675,appears in the form of,1,1,0,0,0,0,0,0,0,0,0,0
P4743,animal breed,1,1,0,0,0,0,0,0,0,0,0,0
P4745,is proceedings from,1,1,0,0,0,0,0,0,0,0,0,0
P4805,make-up artist,1,1,0,0,0,0,0,0,0,0,0,0
P4837,has command line option,1,1,0,0,0,0,0,0,0,0,0,0
P5004,in opposition to,1,1,0,0,0,0,0,0,0,0,0,0
P5021,assessment,1,1,0,0,0,0,0,0,0,0,0,0
P5027,number of representations,1,1,0,0,0,0,0,0,0,0,0,0
P5051,towards,1,1,0,0,0,0,0,0,0,0,0,0
P5059,modified version of,1,1,0,0,0,0,0,0,0,0,0,0
P5072,presented in,1,1,0,0,0,0,0,0,0,0,0,0
P5135,greater than,1,1,0,0,0,0,0,0,0,0,0,0
P5150,IGAC rating,1,1,0,0,0,0,0,0,0,0,0,0
P5328,revival or touring version of,1,1,0,0,0,0,0,0,0,0,0,0
P5982,annual number of weddings,1,1,0,0,0,0,0,0,0,0,0,0
P6104,maintained by WikiProject,1,1,0,0,0,0,0,0,0,0,0,0
P6193,ratified by,1,1,0,0,0,0,0,0,0,0,0,0
P6365,member category,1,1,0,0,0,0,0,0,0,0,0,0
P6439,has lyrics,1,1,0,0,0,0,0,0,0,0,0,0
P6452,CBFC rating,1,1,0,0,0,0,0,0,0,0,0,0
P6569,taxon especially protected in area,1,1,0,0,0,0,0,0,0,0,0,0
P6639,capacity factor,1,1,0,0,0,0,0,0,0,0,0,0
P6684,first attested from,1,1,0,0,0,0,0,0,0,0,0,0
P6803,taxon found at location,1,1,0,0,0,0,0,0,0,0,0,0
P6949,announcement date,1,1,0,0,0,0,0,0,0,0,0,0
P7078,typing discipline,1,1,0,0,0,0,0,0,0,0,0,0
P7152,copyright exemption,1,1,0,0,0,0,0,0,0,0,0,0
P7469,orientation,1,1,0,0,0,0,0,0,0,0,0,0
P7470,URN formatter,1,1,0,0,0,0,0,0,0,0,0,0
P8107,bus,1,1,0,0,0,0,0,0,0,0,0,0
P8453,public transport stop,1,1,0,0,0,0,0,0,0,0,0,0
P8738,permits,1,1,0,0,0,0,0,0,0,0,0,0
P8786,dedicated heritage entity,1,1,0,0,0,0,0,0,0,0,0,0
P8791,digitised by,1,1,0,0,0,0,0,0,0,0,0,0
P9184,number of hits,1,1,0,0,0,0,0,0,0,0,0,0
P9237,reissue of,1,1,0,0,0,0,0,0,0,0,0,0
P9652,personality trait of fictional character,1,1,0,0,0,0,0,0,0,0,0,0
P9883,created for,1,1,0,0,0,0,0,0,0,0,0,0
P9897,App Store age rating,1,1,0,0,0,0,0,0,0,0,0,0
P9929,madhhab,1,1,0,0,0,0,0,0,0,0,0,0
P10129,protective marking,1,1,0,0,0,0,0,0,0,0,0,0
P10408,created during,1,1,0,0,0,0,0,0,0,0,0,0
P10588,academic calendar type,1,1,0,0,0,0,0,0,0,0,0,0
P10640,pole positions,1,1,0,0,0,0,0,0,0,0,0,0
P10642,place of disappearance,1,1,0,0,0,0,0,0,0,0,0,0
P10664,featured track(s),1,1,0,0,0,0,0,0,0,0,0,0
P10836,inker,1,1,0,0,0,0,0,0,0,0,0,0
P11108,recorded participant,1,1,0,0,0,0,0,0,0,0,0,0
P11547,Happy Planet Index score,1,1,0,0,0,0,0,0,0,0,0,0
P11590,stamp perforation,1,1,0,0,0,0,0,0,0,0,0,0
P11738,"handled, mitigated, or managed by",1,1,0,0,0,0,0,0,0,0,0,0
P12456,phonographic copyright,1,1,0,0,0,0,0,0,0,0,0,0
P12764,replaced synonym of,1,1,0,0,0,0,0,0,0,0,0,0
P13269,directs readers to,1,1,0,0,0,0,0,0,0,0,0,0
P13308,software used for creation,1,1,0,0,0,0,0,0,0,0,0,0
P13459,research project that contributed to this data set,1,1,0,0,0,0,0,0,0,0,0,0
P13497,interior designer,1,1,0,0,0,0,0,0,0,0,0,0
P13564,third-gender population,1,1,0,0,0,0,0,0,0,0,0,0
P66,ancestral home,2,2,0,0,0,0,0,0,0,0,0,0
P274,chemical formula,2,2,0,0,0,0,0,0,0,0,0,0
P461,opposite of,2,2,0,0,0,0,0,0,0,0,0,0
P478,volume,2,1,0,0,0,0,0,0,0,0,0,0
P489,currency sign,2,2,0,0,0,0,0,0,0,0,0,0
P509,cause of death,2,2,0,0,0,0,0,0,0,0,0,0
P560,direction,2,2,0,0,0,0,0,0,0,0,0,0
P823,speaker,2,2,0,0,0,0,0,0,0,0,0,0
P941,inspired by,2,2,0,0,0,0,0,0,0,0,0,0
P943,programmer,2,1,0,0,0,0,0,0,0,0,0,0
P965,burial plot reference,2,2,0,0,0,0,0,0,0,0,0,0
P974,tributary,2,2,0,0,0,0,0,0,0,0,0,0
P1073,writable file format,2,1,0,0,0,0,0,0,0,0,0,0
P1087,Elo rating,2,1,0,0,0,0,0,0,0,0,0,0
P1125,Gini coefficient,2,1,0,0,0,0,0,0,0,0,0,0
P1139,floors below ground,2,2,0,0,0,0,0,0,0,0,0,0
P1163,media type,2,2,0,0,0,0,0,0,0,0,0,0
P1339,number of injured,2,1,0,0,0,0,0,0,0,0,0,0
P1345,number of victims of killer,2,2,0,0,0,0,0,0,0,0,0,0
P1434,takes place in fictional universe,2,2,0,0,0,0,0,0,0,0,0,0
P1436,collection or exhibition size,2,1,0,0,0,0,0,0,0,0,0,0
P1478,has immediate cause,2,2,0,0,0,0,0,0,0,0,0,0
P1479,has contributing factor,2,2,0,0,0,0,0,0,0,0,0,0
P1536,immediate cause of,2,2,0,0,0,0,0,0,0,0,0,0
P1591,defendant,2,1,0,0,0,0,0,0,0,0,0,0
P1611,NATO code for grade,2,2,0,0,0,0,0,0,0,0,0,0
P1619,date of official opening,2,2,0,0,0,0,0,0,0,0,0,0
P1625,has melody,2,2,0,0,0,0,0,0,0,0,0,0
P1656,unveiled by,2,1,0,0,0,0,0,0,0,0,0,0
P1657,MPA film rating,2,2,0,0,0,0,0,0,0,0,0,0
P2012,cuisine,2,2,0,0,0,0,0,0,0,0,0,0
P2233,semi-major axis of an orbit,2,2,0,0,0,0,0,0,0,0,0,0
P2319,elector,2,1,0,0,0,0,0,0,0,0,0,0
P2358,praenomen,2,2,0,0,0,0,0,0,0,0,0,0
P2370,conversion to SI unit,2,2,0,0,0,0,0,0,0,0,0,0
P2554,production designer,2,1,0,0,0,0,0,0,0,0,0,0
P2701,file format,2,2,0,0,0,0,0,0,0,0,0,0
P2793,clearance,2,2,0,0,0,0,0,0,0,0,0,0
P2834,individual tax rate,2,1,0,0,0,0,0,0,0,0,0,0
P2881,promoted,2,1,0,0,0,0,0,0,0,0,0,0
P3026,closed on,2,2,0,0,0,0,0,0,0,0,0,0
P3274,content deliverer,2,1,0,0,0,0,0,0,0,0,0,0
P3349,designed to carry,2,1,0,0,0,0,0,0,0,0,0,0
P3415,start period,2,2,0,0,0,0,0,0,0,0,0,0
P3450,sports season of league or competition,2,2,0,0,0,0,0,0,0,0,0,0
P3493,legal status (medicine),2,2,0,0,0,0,0,0,0,0,0,0
P3575,data size,2,1,0,0,0,0,0,0,0,0,0,0
P3833,diaspora,2,1,0,0,0,0,0,0,0,0,0,0
P4151,game mechanics,2,2,0,0,0,0,0,0,0,0,0,0
P4292,possessed by spirit,2,2,0,0,0,0,0,0,0,0,0,0
P4448,cash back,2,1,0,0,0,0,0,0,0,0,0,0
P4661,reservoir created,2,1,0,0,0,0,0,0,0,0,0,0
P4777,has boundary,2,2,0,0,0,0,0,0,0,0,0,0
P5141,coastline,2,2,0,0,0,0,0,0,0,0,0,0
P5412,romanization of Belarusian (2007 system),2,2,0,0,0,0,0,0,0,0,0,0
P5582,number of arrests,2,1,0,0,0,0,0,0,0,0,0,0
P5623,type of water supply,2,1,0,0,0,0,0,0,0,0,0,0
P5901,official number of town quarter,2,2,0,0,0,0,0,0,0,0,0,0
P5970,Medierådet rating,2,2,0,0,0,0,0,0,0,0,0,0
P6546,penalty minutes in career,2,2,0,0,0,0,0,0,0,0,0,0
P6711,data transfer speed,2,1,0,0,0,0,0,0,0,0,0,0
P6886,writing language,2,2,0,0,0,0,0,0,0,0,0,0
P7047,enemy,2,2,0,0,0,0,0,0,0,0,0,0
P7643,covered period,2,1,0,0,0,0,0,0,0,0,0,0
P8500,Vietnamese middle name,2,1,0,0,0,0,0,0,0,0,0,0
P8956,compatible with,2,1,0,0,0,0,0,0,0,0,0,0
P8966,URL match pattern,2,2,0,0,0,0,0,0,0,0,0,0
P9139,first family name in Portuguese name,2,1,0,0,0,0,0,0,0,0,0,0
P9419,personal library at,2,2,0,0,0,0,0,0,0,0,0,0
P10280,category for honorary citizens of entity,2,1,0,0,0,0,0,0,0,0,0,0
P10610,number of teachers,2,1,0,0,0,0,0,0,0,0,0,0
P10636,number of conferences,2,1,0,0,0,0,0,0,0,0,0,0
P12011,tribe,2,1,0,0,0,0,0,0,0,0,0,0
P13637,matricule number,2,1,0,0,0,0,0,0,0,0,0,0
P13638,settlement classification,2,2,0,0,0,0,0,0,0,0,0,0
P13789,has wireless capabilities,2,1,0,0,0,0,0,0,0,0,0,0
P14408,contains cadastral area,2,2,0,0,0,0,0,0,0,0,0,0
P240,FAA airport code,3,3,0,0,0,0,0,0,0,0,0,0
P459,determination method or standard,3,2,0,0,0,0,0,0,0,0,0,0
P470,Eight Banner register,3,2,0,0,0,0,0,0,0,0,0,0
P1018,language regulatory body,3,2,0,0,0,0,0,0,0,0,0,0
P1031,legal citation of this text,3,2,0,0,0,0,0,0,0,0,0,0
P1099,number of masts,3,2,0,0,0,0,0,0,0,0,0,0
P1191,date of first performance,3,3,0,0,0,0,0,0,0,0,0,0
P1423,template has topic,3,1,0,0,0,0,0,0,0,0,0,0
P1588,Statistics Indonesia area code,3,3,0,0,0,0,0,0,0,0,0,0
P1603,number of cases,3,3,0,0,0,0,0,0,0,0,0,0
P1706,together with,3,3,0,0,0,0,0,0,0,0,0,0
P1793,format as a regular expression,3,2,0,0,0,0,0,0,0,0,0,0
P1880,measurement scale,3,2,0,0,0,0,0,0,0,0,0,0
P2031,start of work period,3,3,0,0,0,0,0,0,0,0,0,0
P2058,depositary,3,3,0,0,0,0,0,0,0,0,0,0
P2258,mobile country code,3,3,0,0,0,0,0,0,0,0,0,0
P2354,has list,3,3,0,0,0,0,0,0,0,0,0,0
P2359,nomen gentilicium,3,1,0,0,0,0,0,0,0,0,0,0
P2512,has spin-off,3,2,0,0,0,0,0,0,0,0,0,0
P2557,stroke,3,1,0,0,0,0,0,0,0,0,0,0
P2579,studied by,3,3,0,0,0,0,0,0,0,0,0,0
P2595,maximum gradient,3,2,0,0,0,0,0,0,0,0,0,0
P2598,serial number,3,2,0,0,0,0,0,0,0,0,0,0
P2684,Kijkwijzer rating,3,2,0,0,0,0,0,0,0,0,0,0
P2787,longest span,3,3,0,0,0,0,0,0,0,0,0,0
P3014,laws applied,3,1,0,0,0,0,0,0,0,0,0,0
P3271,compulsory education (maximum age),3,3,0,0,0,0,0,0,0,0,0,0
P3712,has goal,3,3,0,0,0,0,0,0,0,0,0,0
P4082,captured with,3,1,0,0,0,0,0,0,0,0,0,0
P4140,energy storage capacity,3,2,0,0,0,0,0,0,0,0,0,0
P4622,trophy awarded,3,2,0,0,0,0,0,0,0,0,0,0
P4876,number of records,3,2,0,0,0,0,0,0,0,0,0,0
P4968,relevant qualification,3,3,0,0,0,0,0,0,0,0,0,0
P4998,key press,3,1,0,0,0,0,0,0,0,0,0,0
P5017,last update,3,2,0,0,0,0,0,0,0,0,0,0
P5810,cryptocurrency code,3,1,0,0,0,0,0,0,0,0,0,0
P5894,tuition fee,3,3,0,0,0,0,0,0,0,0,0,0
P6587,league system,3,3,0,0,0,0,0,0,0,0,0,0
P6589,endowment,3,3,0,0,0,0,0,0,0,0,0,0
P7086,start grade,3,3,0,0,0,0,0,0,0,0,0,0
P7937,form of creative work,3,3,0,0,0,0,0,0,0,0,0,0
P8031,perpetrator,3,3,0,0,0,0,0,0,0,0,0,0
P8196,voting system,3,2,0,0,0,0,0,0,0,0,0,0
P8345,media franchise,3,3,0,0,0,0,0,0,0,0,0,0
P8498,road number formatter,3,2,0,0,0,0,0,0,0,0,0,0
P8687,social media followers,3,3,0,0,0,0,0,0,0,0,0,0
P8733,number of rooms,3,2,0,0,0,0,0,0,0,0,0,0
P9059,subdivision of this unit,3,3,0,0,0,0,0,0,0,0,0,0
P9548,earned run average,3,1,0,0,0,0,0,0,0,0,0,0
P9714,taxon range,3,2,0,0,0,0,0,0,0,0,0,0
P10241,individual of taxon,3,2,0,0,0,0,0,0,0,0,0,0
P10654,rack system,3,2,0,0,0,0,0,0,0,0,0,0
P10714,WikiProject importance scale rating,3,1,0,0,0,0,0,0,0,0,0,0
P11197,build system,3,3,0,0,0,0,0,0,0,0,0,0
P11812,afterward owned by,3,3,0,0,0,0,0,0,0,0,0,0
P12651,authorised capital,3,2,0,0,0,0,0,0,0,0,0,0
P14834,substance control status,3,2,0,0,0,0,0,0,0,0,0,0
P91,sexual orientation,4,4,0,0,0,0,0,0,0,0,0,0
P425,field of this occupation,4,2,0,0,0,0,0,0,0,0,0,0
P474,telephone country code,4,4,0,0,0,0,0,0,0,0,0,0
P736,cover art by,4,2,0,0,0,0,0,0,0,0,0,0
P770,cause of destruction,4,4,0,0,0,0,0,0,0,0,0,0
P967,guest of honor,4,4,0,0,0,0,0,0,0,0,0,0
P1096,orbital eccentricity,4,2,0,0,0,0,0,0,0,0,0,0
P1351,number of points/goals/set scored,4,2,0,0,0,0,0,0,0,0,0,0
P1393,proxy,4,4,0,0,0,0,0,0,0,0,0,0
P1595,charge,4,4,0,0,0,0,0,0,0,0,0,0
P1620,plaintiff,4,3,0,0,0,0,0,0,0,0,0,0
P1950,second family name in Spanish name,4,3,0,0,0,0,0,0,0,0,0,0
P2093,author name string,4,3,0,0,0,0,0,0,0,0,0,0
P2234,volume as quantity,4,3,0,0,0,0,0,0,0,0,0,0
P2610,thickness,4,3,0,0,0,0,0,0,0,0,0,0
P2614,World Heritage criteria,4,1,0,0,0,0,0,0,0,0,0,0
P2700,protocol,4,4,0,0,0,0,0,0,0,0,0,0
P2756,EIRIN film rating,4,4,0,0,0,0,0,0,0,0,0,0
P2770,source of income,4,4,0,0,0,0,0,0,0,0,0,0
P2790,net tonnage,4,2,0,0,0,0,0,0,0,0,0,0
P2851,payment types accepted,4,4,0,0,0,0,0,0,0,0,0,0
P2894,day of week,4,3,0,0,0,0,0,0,0,0,0,0
P3019,railway signalling system,4,3,0,0,0,0,0,0,0,0,0,0
P3680,statement supported by,4,1,0,0,0,0,0,0,0,0,0,0
P3985,supports programming language,4,2,0,0,0,0,0,0,0,0,0,0
P3989,members have occupation,4,3,0,0,0,0,0,0,0,0,0,0
P3999,date of official closure,0,0,0,0,0,0,0,0,0,0,0,0
P4354,search formatter URL,3,3,0,0,0,0,0,0,0,0,0,0
P4511,vertical depth,4,3,0,0,0,0,0,0,0,0,0,0
P4566,awarded for period,4,4,0,0,0,0,0,0,0,0,0,0
P4647,location of first performance,4,4,0,0,0,0,0,0,0,0,0,0
P5056,patronym or matronym,4,4,0,0,0,0,0,0,0,0,0,0
P5138,season of club or team,4,4,0,0,0,0,0,0,0,0,0,0
P5899,interest rate,4,4,0,0,0,0,0,0,0,0,0,0
P6149,running mate,4,4,0,0,0,0,0,0,0,0,0,0
P6237,real estate developer,4,3,0,0,0,0,0,0,0,0,0,0
P6241,collection creator,4,4,0,0,0,0,0,0,0,0,0,0
P7603,CITES Appendix,4,4,0,0,0,0,0,0,0,0,0,0
P8032,victim(s),4,4,0,0,0,0,0,0,0,0,0,0
P8550,law identifier,4,2,0,0,0,0,0,0,0,0,0,0
P8739,prohibits,4,4,0,0,0,0,0,0,0,0,0,0
P9994,record number,4,2,0,0,0,0,0,0,0,0,0,0
P12883,Turkey neighborhood ID,4,4,0,0,0,0,0,0,0,0,0,0
P141,IUCN conservation status,5,5,0,0,0,0,0,0,0,0,0,0
P246,element symbol,5,4,0,0,0,0,0,0,0,0,0,0
P249,ticker symbol,5,5,0,0,0,0,0,0,0,0,0,0
P364,original language of film or TV show,5,5,0,0,0,0,0,0,0,0,0,0
P404,game mode,5,3,0,0,0,0,0,0,0,0,0,0
P730,service retirement,5,5,0,0,0,0,0,0,0,0,0,0
P885,origin of the watercourse,5,5,0,0,0,0,0,0,0,0,0,0
P1677,index case of,5,5,0,0,0,0,0,0,0,0,0,0
P2243,apoapsis,5,3,0,0,0,0,0,0,0,0,0,0
P2442,conversion to standard unit,5,3,0,0,0,0,0,0,0,0,0,0
P2515,costume designer,5,1,0,0,0,0,0,0,0,0,0,0
P2517,category for recipients of this award,5,2,0,0,0,0,0,0,0,0,0,0
P2556,bore,5,2,0,0,0,0,0,0,0,0,0,0
P2907,UTC timezone offset,5,3,0,0,0,0,0,0,0,0,0,0
P3158,enclosure,5,2,0,0,0,0,0,0,0,0,0,0
P3679,stock market index,5,5,0,0,0,0,0,0,0,0,0,0
P4135,maximum age,5,5,0,0,0,0,0,0,0,0,0,0
P4444,reward,5,5,0,0,0,0,0,0,0,0,0,0
P4595,post town,5,2,0,0,0,0,0,0,0,0,0,0
P4856,conscription number,5,5,0,0,0,0,0,0,0,0,0,0
P5658,railway traffic side,5,5,0,0,0,0,0,0,0,0,0,0
P6191,language style,5,5,0,0,0,0,0,0,0,0,0,0
P6840,student organization of,5,3,0,0,0,0,0,0,0,0,0,0
P6902,era name,5,4,0,0,0,0,0,0,0,0,0,0
P7782,category for ship name,5,4,0,0,0,0,0,0,0,0,0,0
P9239,affiliated worker organisation,5,5,0,0,0,0,0,0,0,0,0,0
P9302,script style,5,3,0,0,0,0,0,0,0,0,0,0
P14519,body modification(s),5,4,0,0,0,0,0,0,0,0,0,0
P30,continent,6,3,0,0,0,0,0,0,0,0,0,0
P200,inflows,6,5,0,0,0,0,0,0,0,0,0,0
P522,type of orbit,6,4,0,0,0,0,0,0,0,0,0,0
P610,highest point,6,5,0,0,0,0,0,0,0,0,0,0
P655,translator,6,3,0,0,0,0,0,0,0,0,0,0
P1411,nominated for,6,5,0,0,0,0,0,0,0,0,0,0
P1787,art name,6,5,0,0,0,0,0,0,0,0,0,0
P1873,maximum number of players,6,6,0,0,0,0,0,0,0,0,0,0
P2261,beam,6,3,0,0,0,0,0,0,0,0,0,0
P2563,superhuman feature or ability,6,2,0,0,0,0,0,0,0,0,0,0
P3092,film crew member,6,2,0,0,0,0,0,0,0,0,0,0
P3437,carries passengers or cargo,6,4,0,0,0,0,0,0,0,0,0,0
P3893,public domain date,6,5,0,0,0,0,0,0,0,0,0,0
P5071,boiler pressure,6,3,0,0,0,0,0,0,0,0,0,0
P5800,narrative role,6,3,0,0,0,0,0,0,0,0,0,0
P7514,landscape architect,6,5,0,0,0,0,0,0,0,0,0,0
P10568,maintains linking to,6,1,0,0,0,0,0,0,0,0,0,0
P13723,shrine ranking,6,4,0,0,0,0,0,0,0,0,0,0
P301,category's main topic,7,6,0,0,0,0,0,0,0,0,0,0
P376,located on astronomical body,7,7,0,0,0,0,0,0,0,0,0,0
P580,start time,6,6,0,0,0,0,0,0,0,0,0,0
P631,structural engineer,7,6,0,0,0,0,0,0,0,0,0,0
P908,PEGI rating,7,6,0,0,0,0,0,0,0,0,0,0
P1120,number of deaths,7,5,0,0,0,0,0,0,0,0,0,0
P2021,Erdős number,7,7,0,0,0,0,0,0,0,0,0,0
P2045,orbital inclination,7,1,0,0,0,0,0,0,0,0,0,0
P2522,competition won,7,7,0,0,0,0,0,0,0,0,0,0
P2665,alcohol by volume,7,5,0,0,0,0,0,0,0,0,0,0
P2900,fax number,7,6,0,0,0,0,0,0,0,0,0,0
P3001,retirement age,7,2,0,0,0,0,0,0,0,0,0,0
P3205,patient of,7,7,0,0,0,0,0,0,0,0,0,0
P3373,sibling,7,7,0,0,0,0,0,0,0,0,0,0
P3858,route diagram template,7,2,0,0,0,0,0,0,0,0,0,0
P4428,implementation of,7,3,0,0,0,0,0,0,0,0,0,0
P4794,season starts,7,5,0,0,0,0,0,0,0,0,0,0
P4884,court,7,4,0,0,0,0,0,0,0,0,0,0
P5436,number of viewers/listeners,7,6,0,0,0,0,0,0,0,0,0,0
P5869,model item,7,2,0,0,0,0,0,0,0,0,0,0
P6153,research site,7,4,0,0,0,0,0,0,0,0,0,0
P6440,maintenance method,7,6,0,0,0,0,0,0,0,0,0,0
P7095,end grade,7,6,0,0,0,0,0,0,0,0,0,0
P8368,number of branches,7,7,0,0,0,0,0,0,0,0,0,0
P10290,hotel rating,7,6,0,0,0,0,0,0,0,0,0,0
P11146,collection items at,7,6,0,0,0,0,0,0,0,0,0,0
P201,outflows,8,8,0,0,0,0,0,0,0,0,0,0
P521,scheduled service destination,8,5,0,0,0,0,0,0,0,0,0,0
P546,docking port,8,6,0,0,0,0,0,0,0,0,0,0
P1145,Lagrangian point,8,8,0,0,0,0,0,0,0,0,0,0
P1932,object named as,8,5,0,0,0,0,0,0,0,0,0,0
P2225,discharge,8,5,0,0,0,0,0,0,0,0,0,0
P2572,hashtag,8,6,0,0,0,0,0,0,0,0,0,0
P2884,mains voltage,8,5,0,0,0,0,0,0,0,0,0,0
P3033,package management system,8,5,0,0,0,0,0,0,0,0,0,0
P3501,Christian liturgical rite,8,8,0,0,0,0,0,0,0,0,0,0
P3938,named by,8,4,0,0,0,0,0,0,0,0,0,0
P4586,type foundry,8,6,0,0,0,0,0,0,0,0,0,0
P4633,name of the character role,8,1,0,0,0,0,0,0,0,0,0,0
P7297,cumulative elevation gain,8,5,0,0,0,0,0,0,0,0,0,0
P8546,recording location,8,7,0,0,0,0,0,0,0,0,0,0
P8852,facial hair,8,7,0,0,0,0,0,0,0,0,0,0
P9549,official podcast,8,7,0,0,0,0,0,0,0,0,0,0
P9793,setlist,8,4,0,0,0,0,0,0,0,0,0,0
P10367,number of lanes,8,3,0,0,0,0,0,0,0,0,0,0
P61,discoverer or inventor,9,8,0,0,0,0,0,0,0,0,0,0
P1128,employees,9,5,0,0,0,0,0,0,0,0,0,0
P1193,prevalence,9,9,0,0,0,0,0,0,0,0,0,0
P1557,manifestation of,9,3,0,0,0,0,0,0,0,0,0,0
P2635,number of parts of this work,9,5,0,0,0,0,0,0,0,0,0,0
P2739,typeface/font used,9,7,0,0,0,0,0,0,0,0,0,0
P2852,emergency phone number,9,5,0,0,0,0,0,0,0,0,0,0
P2913,date depicted,9,9,0,0,0,0,0,0,0,0,0,0
P2925,domain of saint or deity,9,6,0,0,0,0,0,0,0,0,0,0
P2998,age of candidacy,9,3,0,0,0,0,0,0,0,0,0,0
P3618,base salary,9,7,0,0,0,0,0,0,0,0,0,0
P3701,incarnation of,9,3,0,0,0,0,0,0,0,0,0,0
P4290,official app,9,7,0,0,0,0,0,0,0,0,0,0
P4844,research intervention,9,1,0,0,0,0,0,0,0,0,0,0
P7045,chassis,9,2,0,0,0,0,0,0,0,0,0,0
P8058,symbol of,9,8,0,0,0,0,0,0,0,0,0,0
P8571,external auditor,9,6,0,0,0,0,0,0,0,0,0,0
P9234,supplement to,9,8,0,0,0,0,0,0,0,0,0,0
P412,voice type,10,9,0,0,0,0,0,0,0,0,0,0
P500,exclave of,9,6,0,0,0,0,0,0,0,0,0,0
P916,GSRR rating,10,9,0,0,0,0,0,0,0,0,0,0
P1072,readable file format,10,7,0,0,0,0,0,0,0,0,0,0
P1264,valid in period,10,9,0,0,0,0,0,0,0,0,0,0
P1299,depicted by,10,10,0,0,0,0,0,0,0,0,0,0
P2244,periapsis,10,3,0,0,0,0,0,0,0,0,0,0
P2547,perimeter,10,1,0,0,0,0,0,0,0,0,0,0
P3602,candidacy in election,10,9,0,0,0,0,0,0,0,0,0,0
P4519,payload mass,10,7,0,0,0,0,0,0,0,0,0,0
P4614,drainage basin,10,6,0,0,0,0,0,0,0,0,0,0
P5023,activity policy in this place,10,10,0,0,0,0,0,0,0,0,0,0
P5630,prisoner count,10,6,0,0,0,0,0,0,0,0,0,0
P10067,train melody,10,9,0,0,0,0,0,0,0,0,0,0
P25,mother,11,11,0,0,0,0,0,0,0,0,0,0
P172,ethnic group,11,8,0,0,0,0,0,0,0,0,0,0
P348,software version identifier,11,9,0,0,0,0,0,0,0,0,0,0
P393,edition number,11,4,0,0,0,0,0,0,0,0,0,0
P834,train depot,11,8,0,0,0,0,0,0,0,0,0,0
P1462,standards body,11,9,0,0,0,0,0,0,0,0,0,0
P2360,intended public,11,5,0,0,0,0,0,0,0,0,0,0
P2674,next crossing downstream,11,9,0,0,0,0,0,0,0,0,0,0
P2848,Wi-Fi access,11,11,0,0,0,0,0,0,0,0,0,0
P5822,admission rate,11,1,0,0,0,0,0,0,0,0,0,0
P6856,average speed,11,7,0,0,0,0,0,0,0,0,0,0
P8005,research subject recruitment status,11,9,0,0,0,0,0,0,0,0,0,0
P10254,associated cadastral district,11,8,0,0,0,0,0,0,0,0,0,0
P10888,contains the statistical territorial entity,11,7,0,0,0,0,0,0,0,0,0,0
P78,top-level Internet domain,12,9,0,0,0,0,0,0,0,0,0,0
P729,service entry,12,12,0,0,0,0,0,0,0,0,0,0
P1104,number of pages,14,6,0,0,0,0,0,0,0,0,0,0
P1290,godparent,12,9,0,0,0,0,0,0,0,0,0,0
P1622,driving side,12,12,0,0,0,0,0,0,0,0,0,0
P2130,capital cost,12,9,0,0,0,0,0,0,0,0,0,0
P2596,culture,12,5,0,0,0,0,0,0,0,0,0,0
P2673,next crossing upstream,12,11,0,0,0,0,0,0,0,0,0,0
